id;title;domain;description;day_to_day;tools_certifications;salary_range;growth_trajectory;industry_trends;icon_emoji;difficulty;demand_level;related_skills;created_at;keywords;job_role_keywords;industry;sector;related_subjects;related_universities;avg_salary_usd;growth_trajectory_detail;soft_skills;interests;countries_in_demand;related_industries;related_sectors;related_domains;related_careers;related_job_roles;related_courses;related_countries
305ee3ed-9ac3-4e85-a6bc-662e4a583e4e;Surveyor;Construction/Geography;Measures and maps land boundaries and features;;[];₹3,00,000 - ₹10,00,000;Steady;;📏;Medium;Medium;"[""GIS"",""Mapping"",""GPS"",""Land Surveying""]";2026-04-07 04:53:38.714603+00;"[""surveyor"",""land"",""mapping"",""construction""]";[];Construction & Real Estate;Real Estate & Construction;[];"[""Cardiff University""]";$75,000;;"[""planning"",""negotiation""]";"[""engineering"",""property""]";"[""USA"",""UK"",""Australia"",""Canada"",""Germany"",""India""]";"[""Construction & Real Estate"",""Construction"",""Outdoor Recreation""]";"[""Real Estate & Construction""]";;"[""Quantity Surveyor""]";"[""Construction Manager"",""Civil Engineer"",""GIS Specialist""]";[];"[""Gambia""]"
08aa9ece-57aa-45f6-b02a-c7f33f3b89de;Translator;Languages;Converts written text from one language to another;;[];₹3,00,000 - ₹12,00,000;Steady;;🌐;Medium;Medium;"[""Cultural Knowledge"",""Writing"",""Languages"",""Natural Language Processing"",""Translation"",""Babel""]";2026-04-07 04:53:38.714603+00;"[""information"",""language"",""languages"",""multilingual"",""technology"",""translation"",""translator""]";[];Information Technology;Translation Services;"[""Linguistics""]";"[""Jamia Millia Islamia"",""Keio University"",""Osaka University""]";$60,000;;"[""languages""]";"[""languages""]";"[""USA"",""UK"",""Canada"",""Australia"",""Germany"",""India""]";"[""Information Technology""]";"[""Translation Services""]";"[""Languages"",""Islamic Studies"",""Translation Studies""]";;"[""Translator"",""Interpreter""]";[];"[""Cuba"",""Guatemala"",""Andorra"",""Burkina Faso"",""El Salvador"",""Estonia"",""Gambia"",""Iceland"",""Iraq"",""Kiribati"",""Laos"",""Angola"",""Belarus""]"
208c09bf-cb41-4b66-b261-8acfc14d4e40;Museologist;Museum Studies;Manage museum operations and exhibition design;Plan exhibitions, manage collections, engage visitors, write labels and catalogs;[];₹3,00,000-₹9,00,000;Cultural tourism increasing importance;Immersive and digital exhibitions changing the visitor experience;🏛️;Intermediate;Stable;"[""History"",""Exhibition Design"",""Curation"",""Conservation"",""Education""]";2026-04-04 06:37:36.623731+00;"[""arts"",""creative"",""museologist"",""museum"",""studies""]";[];Arts & Creative;UI/UX Design;[];"[""Aligarh Muslim University""]";65000;;"[""creativity"",""Creativity"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving"",""Communication"",""analytical"",""Leadership"",""Organization"",""empathy"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""negotiation"",""service"",""problem-solving"",""Logical Thinking"",""innovation"",""safety"",""Analytical Skills""]";"[""fashion"",""design"",""art"",""arts"",""Design"",""Art"",""Visuals"",""beauty"",""media"",""engineering"",""film"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT"",""music"",""Marketing"",""Business"",""Online"",""marketing"",""content"",""business"",""Management""]";"[""USA"",""UK"",""Australia"",""Germany"",""India"",""Canada""]";"[""Arts & Creative"",""Information Technology""]";;"[""Museum Studies"",""Archaeology""]";;"[""Museologist""]";[];"[""Cuba"",""Afghanistan"",""Estonia"",""Angola""]"
38408ed5-e6bf-40ac-a8a4-ec39a4ee9e3e;Ethical Hacker;Cybersecurity;Test systems for security vulnerabilities;Conduct penetration tests, find vulnerabilities, write security reports;[];₹6,00,000-₹30,00,000;Massive shortage of cybersecurity professionals;Zero-trust architecture and cloud security driving demand;🛡️;Advanced;Very High;"[""OWASP"",""Programming"",""Network Security"",""Penetration Testing"",""Linux"",""Ethical Hacking""]";2026-04-04 06:37:36.623731+00;"[""cybersecurity"",""ethical"",""hacker"",""information"",""technology""]";[];Information Technology;Property Development;[];[];105000;;"[""Problem Solving"",""Analytical Thinking""]";"[""Technology"",""Security"",""Computers""]";"[""USA"",""UK"",""Germany""]";"[""Information Technology""]";;"[""Cybersecurity""]";"[""Ethical Hacker""]";"[""Ethical Hacker"",""Growth Hacker""]";"[""The Complete Cyber Security Course"",""Certified Ethical Hacker (CEH)"",""Ethical Hacking - EC Council""]";
0dcf7d68-f863-4a3b-a9bd-b0cfbfabc9c4;Makeup Artist;Beauty/Entertainment;Applies cosmetics for fashion, film, theatre and special events;;[];₹2,00,000 - ₹10,00,000;Strong Growth;;💄;Easy;Medium;"[""Skin Care"",""Makeup Application"",""Color Theory"",""SFX""]";2026-04-07 04:53:38.714603+00;"[""artist"",""beauty"",""cosmetics"",""entertainment"",""makeup"",""media"",""mua""]";[];Entertainment & Media;Beauty & Personal Care;[];[];$60,000;;"[""creativity""]";"[""beauty""]";"[""USA"",""UK"",""Germany"",""Australia""]";"[""Artificial Intelligence & Machine Learning"",""Entertainment & Media"",""Luxury Goods""]";"[""Beauty & Personal Care""]";"[""Beauty/Entertainment""]";;"[""Makeup Artist""]";[];
1031efbc-f3e4-4faa-869f-b4df017dde72;Glazier;Construction;Installs and repairs glass in buildings and structures;;[];₹2,00,000 - ₹6,00,000;Steady;;🪟;Medium;Medium;"[""Glass Cutting"",""Measurement"",""Installation"",""Safety""]";2026-04-07 04:53:38.714603+00;"[""glazier"",""glass"",""window"",""construction""]";[];Construction & Real Estate;Real Estate & Construction;[];[];$75,000;;"[""planning"",""negotiation""]";"[""engineering"",""property""]";"[""USA"",""UK"",""Australia"",""Canada"",""Germany"",""India""]";"[""Construction & Real Estate"",""Construction""]";"[""Real Estate & Construction""]";;;"[""Construction Manager"",""Civil Engineer""]";[];
c13282d3-8e3c-44a1-a1a4-9d2a9893b190;Sommelier;Hospitality & Wine;Expert in wine selection, pairing, and service;Curate wine lists, train staff, conduct tastings, advise customers on pairings;[];₹3,00,000-₹12,00,000;Indian wine market growing rapidly;Indian wine industry and fine dining expanding opportunities;🍷;Intermediate;Niche;"[""Business"",""Hospitality"",""Wine Knowledge"",""Communication"",""Taste Analysis""]";2026-04-04 06:37:36.623731+00;"[""hospitality"",""sommelier"",""tourism"",""wine""]";[];Hospitality & Tourism;Hospitality & Tourism;[];[];$55,000;;"[""service"",""innovation""]";"[""travel"",""space"",""science""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";"[""Hospitality & Tourism""]";;"[""Hospitality & Wine""]";"[""Sommelier""]";"[""Sommelier""]";[];
16f9ae7b-f55f-4e88-b736-29c88bc7757b;Ecologist;Environmental Science;Studies ecosystems and environmental impact;;[];₹3,00,000 - ₹12,00,000;Rapid Growth;;🌍;Hard;Medium;"[""Fieldwork"",""GIS"",""Statistical Analysis"",""Ecology"",""AlphaFold""]";2026-04-07 04:53:38.714603+00;"[""ecology"",""environment"",""ecosystem""]";[];Environmental & Sustainability;Environmental Services;"[""Ecology""]";"[""Brown University"",""Kyoto University"",""Aarhus University"",""Osaka University""]";$80,000;;"[""systems thinking""]";"[""environment""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia""]";"[""Environmental & Sustainability"",""Fertilizers""]";"[""Environmental Services""]";"[""Dendrology"",""Speleology"",""Philosophy"",""Archaeology"",""Parasitology"",""Mycology"",""Chronobiology""]";"[""Restoration Ecologist""]";"[""Ecologist"",""Environmental Engineer"",""Marine Biologist"",""Conservation Scientist""]";"[""Introduction to Sustainability""]";"[""Ecuador"",""Cambodia"",""Gambia"",""Belarus"",""Belize"",""Bolivia""]"
21808c41-0f89-4757-ba5c-06ad1eca9384;Carpenter;Construction;Builds and repairs wooden structures and furniture;;[];₹2,00,000 - ₹8,00,000;Steady;;🪚;Medium;Medium;"[""Blueprint Reading"",""Woodworking"",""Power Tools""]";2026-04-07 04:53:38.714603+00;"[""carpenter"",""woodwork"",""construction""]";[];Construction & Real Estate;Real Estate & Construction;[];[];$75,000;;"[""planning"",""negotiation""]";"[""engineering"",""property""]";"[""USA"",""UK"",""Australia"",""Canada"",""Germany"",""India""]";"[""Construction & Real Estate"",""Construction"",""Cement & Concrete""]";"[""Real Estate & Construction""]";;;"[""Construction Manager"",""Civil Engineer""]";[];
21f5b106-d2eb-428f-a47c-3185b9b824fc;Actor;Entertainment;Performs in theatre, film, TV and digital media;;[];₹2,00,000 - ₹50,00,000;Steady;;🎭;Hard;Medium;"[""Improvisation"",""Acting"",""Voice Modulation""]";2026-04-07 04:53:38.714603+00;"[""acting"",""actor"",""entertainment"",""film"",""media"",""theatre""]";[];Entertainment & Media;Film & Television;"[""Film Studies""]";"[""UCLA"",""FTII Pune"",""University of Southern California""]";$75,000;;"[""creativity""]";"[""film"",""arts""]";"[""USA"",""UK"",""Germany"",""Australia"",""India""]";"[""Artificial Intelligence & Machine Learning"",""Entertainment & Media"",""Film & Television""]";"[""Film & Television""]";"[""Entertainment""]";"[""Voice Actor""]";"[""Actor"",""Film Director"",""Video Editor""]";[];"[""Guatemala""]"
