id;name;continent;description;gdp_rank;population;official_languages;demand_level;avg_salary_usd;growth_trajectory;icon_emoji;keywords;top_industries;top_sectors;top_domains;top_careers;top_job_roles;top_skills;top_subjects;top_universities;top_courses;soft_skills_in_demand;interests;created_at
59302cf8-353a-4ad8-b743-98bc1612a52e;Malawi;;;;;;High;$110,000;Stable;🌍;;;;;;;;;;;;;2026-04-27 04:22:19.979289+00
8cbea7ed-09ff-4a74-81c8-8af3c14415ae;Lesotho;;;;;;High;$110,000;Stable;🌍;;;;;;;;;;;;;2026-04-27 04:22:19.979289+00
7b5ffae5-d88e-4b3f-a594-1047ab7eb4ce;Honduras;;;;;;Medium;$65K-$130K;Global industry with travel perks;🌍;;"[""Hospitality & Tourism""]";;"[""Hospitality & Tourism""]";;"[""Agricultural Engineer""]";;"[""Cultural Studies""]";;;"[""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""service"",""precision"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""analytical"",""empathy"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""Creativity"",""Attention to Detail"",""creativity""]";"[""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""policy"",""aviation"",""making"",""environment"",""energy"",""Environment"",""Sustainability"",""travel"",""space"",""science"",""research"",""psychology"",""Personal Growth"",""Mental Health"",""Psychology""]";2026-04-27 04:22:19.979289+00
9ce96308-16cd-450d-9ea8-cdc502489ea2;Guatemala;;;;;;Medium;$80,000;Steady;🌍;;;;;"[""Translator"",""Actor"",""Medicine"",""Urban Planning""]";;;;;;"[""languages"",""creativity"",""empathy"",""research"",""Creativity"",""Attention to Detail""]";"[""languages"",""film"",""arts"",""medicine"",""health"",""biology"",""design"",""art"",""Design"",""Art"",""Visuals""]";2026-04-27 04:22:19.979289+00
38f0ce44-0bfb-45b3-8e62-ca8150957178;Fiji;;;;;;High;$65K-$130K;Essential infrastructure demand;🌍;;;;"[""Fisheries Science""]";;;;"[""Demography""]";;"[""First Aid & CPR Certification""]";"[""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""outdoors"",""Technical Aptitude"",""organization"",""design"",""analytical"",""Critical Thinking"",""Communication"",""Analytical Thinking"",""Innovation"",""Organization""]";"[""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment"",""Sustainability""]";2026-04-27 04:22:19.979289+00
655541b9-d95a-4cb4-afe4-4589f5a83e15;Mali;;;;;;High;$110,000;Stable;🌍;;;;;;;;;;;;;2026-04-27 04:22:19.979289+00
32abee5d-cf4a-4102-b955-91d85d109561;Cuba;;;;;;Low;65000;Steady;🌍;;;"[""Arts & Culture"",""Cultural Heritage""]";;"[""Curator"",""Museum Curator"",""Translator"",""Museologist""]";"[""Curator""]";;"[""Cultural Studies"",""Cultural Anthropology""]";;;"[""creativity"",""Creativity"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving"",""Communication"",""analytical"",""Leadership"",""Organization"",""empathy"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""negotiation"",""service"",""problem-solving"",""Logical Thinking"",""innovation"",""safety"",""Analytical Skills""]";"[""fashion"",""design"",""art"",""arts"",""Design"",""Art"",""Visuals"",""beauty"",""media"",""engineering"",""film"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT"",""music"",""Marketing"",""Business"",""Online"",""marketing"",""content"",""business"",""Management""]";2026-04-27 04:22:19.979289+00
1917c06e-d529-4255-995f-c9e6fd930a34;Costa Rica;;;;;;Medium;$55,000;Global industry with travel perks;🌍;;"[""Medical Tourism""]";"[""Coastal Tourism""]";"[""Sustainable Agriculture""]";;;;;;"[""Y Combinator Startup School""]";"[""service"",""innovation"",""empathy"",""research"",""discipline"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Logical Thinking"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""systems thinking"",""Communication"",""Attention to Detail"",""Organization"",""planning"",""negotiation"",""precision"",""Creativity""]";"[""travel"",""space"",""science"",""medicine"",""health"",""biology"",""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""math"",""technology"",""animals"",""Data"",""Technology"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""sports""]";2026-04-27 04:22:19.979289+00
164e147e-bccd-4758-b36c-e74b44a3cacd;Barbados;;;;;;High;$70,000;Stable;🌍;;;;"[""Public Administration""]";;;;;;;"[""service"",""analytical"",""Numeracy"",""Attention to Detail"",""empathy""]";"[""policy"",""risk"",""Finance"",""Business"",""Accounting"",""law"",""psychology""]";2026-04-27 04:22:19.979289+00
23ffb904-21ab-49ea-8b7d-fef896d8d494;Brunei;;;;;;High;$70,000;Stable;🌍;;;;"[""Public Administration""]";;;;;;;"[""service"",""analytical"",""Numeracy"",""Attention to Detail"",""empathy""]";"[""policy"",""risk"",""Finance"",""Business"",""Accounting"",""law"",""psychology""]";2026-04-27 04:22:19.979289+00
c6b87e1d-e6af-430a-86da-433289632061;Liberia;;;;;;High;$110,000;Stable;🌍;;;;;;;;;;;;;2026-04-27 04:22:19.979289+00
22564549-aff4-404c-b956-e22c188c4d72;Equatorial Guinea;;;;;;High;$110,000;Stable;🌍;;;;"[""Criminal Justice""]";;;;;;;"[""analytical"",""Problem Solving"",""Analytical Thinking"",""empathy"",""research"",""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""precision"",""creativity"",""discipline"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""Analytical Skills"",""Critical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail""]";"[""law"",""Technology"",""Security"",""Computers"",""medicine"",""health"",""biology"",""engineering"",""property"",""technology"",""coding"",""Programming"",""Computer Science"",""Coding"",""making"",""beauty"",""fashion"",""psychology"",""sports"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior""]";2026-04-27 04:22:19.979289+00
d3d6d031-e637-4669-ab48-f40d7be394f8;Marshall Islands;;;;;;High;$110,000;Stable;🌍;;;;;;;;;;;;;2026-04-27 04:22:19.979289+00
2bced367-4346-4bb4-aca7-1427c9e80a6e;Libya;;;;;;High;$110,000;Stable;🌍;;;;;;;;;;;;;2026-04-27 04:22:19.979289+00
c3618958-40ab-48b7-a8d7-ab3e83420ada;Lithuania;;;;;;High;$110,000;Stable;🌍;;;;;;;;;;;;;2026-04-27 04:22:19.979289+00
1d7be515-d8fa-42ce-b359-e8ad76c2de1c;Cyprus;;;;;;High;$110,000;Stable;🌍;;;;;;;"[""Cypress""]";;;;;;2026-04-27 04:22:19.979289+00
7115bf4b-ecd4-4575-87c6-bd0ff8b95bae;Madagascar;;;;;;High;$110,000;Stable;🌍;;;;;;;;;;;;;2026-04-27 04:22:19.979289+00
50d8b781-70da-4a16-9ab8-add0265113a2;Luxembourg;;;;;;High;$110,000;Stable;🌍;;;;;;;;;;;;;2026-04-27 04:22:19.979289+00
1ea7835e-05de-4c5a-9c2f-b524fc45663d;Dominica;;;;;;High;$60K-$140K;Stable;🌍;;;;"[""Communications & PR"",""Telecommunications"",""Mass Communication"",""Public Administration"",""Economics"",""Criminal Justice""]";"[""Economist"",""Criminologist"",""Ethical Hacker"",""Behavioral Economist""]";"[""Economist""]";"[""Ethical Hacking""]";"[""Communication Design"",""Communication Theory"",""Economics"",""Journalism & Mass Communication"",""Criminal Law"",""Microeconomics""]";"[""Pontificia Universidad Católica de Chile"",""University of Chicago"",""University of Virginia"",""London School of Economics"",""Pontifical Catholic University Chile""]";"[""Leadership Communication"",""Ethical Hacking - EC Council"",""Certified Ethical Hacker (CEH)""]";"[""service"",""analytical"",""Problem Solving"",""Analytical Thinking"",""research"",""Innovation"",""Analytical Skills"",""Logical Thinking"",""Critical Thinking"",""Communication"",""Attention to Detail"",""Organization"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""precision"",""planning"",""negotiation"",""problem-solving"",""Technical Aptitude"",""Curiosity""]";"[""policy"",""law"",""Technology"",""Security"",""Computers"",""technology"",""math"",""Science"",""Data Science"",""AI"",""Mathematics"",""Data"",""Business"",""Visuals"",""Productivity"",""Programming"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports"",""health"",""research""]";2026-04-27 04:22:19.979289+00
f28f8ce9-43c2-411d-a10d-d0f92d7a4a50;Chad;;;;;;High;$80K-$200K;Stable;🌍;;;;;;;;;;"[""Blockchain Fundamentals - Berkeley""]";"[""innovation"",""organization"",""safety"",""design"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Communication"",""Analytical Thinking"",""Innovation"",""Attention to Detail"",""Organization"",""Logical Thinking"",""research"",""Problem Solving"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""languages"",""service"",""planning"",""Technical Aptitude""]";"[""technology"",""finance"",""crypto"",""events"",""ocean"",""home"",""math"",""Data"",""Technology"",""Business"",""Visuals"",""Data Science"",""AI"",""Productivity"",""Mathematics"",""Science"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports""]";2026-04-27 04:22:19.979289+00
3b6c4d3c-a880-4e27-af32-d0821e1abf8c;Côte d'Ivoire;;;;;;High;95000;Stable Growth;🌍;;"[""Real Estate"",""Architecture"",""Software Development"",""Gaming Software"",""Healthcare IT""]";"[""Software Development"",""Architecture & Design"",""Fashion Tech"",""Food Tech"",""Carbon Capture""]";"[""Real Estate"",""Architecture"",""Game Development"",""Education & Teaching"",""Software Engineering"",""Waste Management""]";"[""Architecture"",""Real Estate"",""Game Development"",""Education & Teaching"",""Software Engineering""]";"[""Game Developer"",""Real Estate Agent"",""Teacher (K-12)"",""Mobile Developer"",""Mobile Game Developer"",""Chief Technology Officer"",""Site Reliability Engineer""]";"[""Microsoft Azure"",""Cloud Architecture"",""Technical Writing"",""Azure DevOps"",""C++"",""C++ STL"",""Svelte"",""Terraform"",""TensorFlow"",""ESP32 Firmware""]";"[""Architecture"",""Game Design"",""Mobile Development"",""Software Engineering"",""Educational Technology""]";"[""Korea Advanced Institute of Science and Technology"",""Georgia Institute of Technology"",""California Institute of Technology"",""Technion - Israel Institute of Technology"",""Massachusetts Institute of Technology""]";"[""Azure Data Engineer Associate"",""TensorFlow Developer Certificate"",""Game Design with Unity"",""Azure Fundamentals (AZ-900)"",""Cloud Native Architecture"",""Game Development with Unity""]";"[""planning"",""creativity"",""Creativity"",""Attention to Detail"",""negotiation"",""Leadership"",""Organization"",""problem-solving"",""Problem Solving"",""Collaboration"",""empathy"",""communication"",""Logical Thinking"",""research"",""analytical"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Critical Thinking"",""Communication"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence""]";"[""engineering"",""fashion"",""design"",""art"",""arts"",""Design"",""Art"",""Visuals"",""property"",""Business"",""Management"",""Productivity"",""Data"",""technology"",""coding"",""Technology"",""Mobile Apps"",""Programming"",""Web Development"",""Coding"",""education"",""teaching"",""Computers"",""Computer Science""]";2026-04-27 04:22:19.979289+00
b274516b-ed3a-4ee0-b1fa-fa4757e60b00;South Korea;Asia;A country in East Asia, the southern part of the Korean Peninsula.;10;51,700,000;"[""Korean""]";High;70000;Stable;🇰🇷;"[""technology"",""innovation"",""manufacturing"",""K-culture""]";"[""Electronics"",""Automotive"",""Semiconductors"",""Information Technology""]";"[""Technology"",""Manufacturing"",""Automotive Industry"",""Biotechnology""]";"[""Computer Science"",""Electrical Engineering"",""Mechanical Engineering"",""Biotechnology""]";"[""Software Engineer"",""Automotive Engineer"",""Semiconductor Engineer"",""Data Scientist""]";"[""Engineer"",""Developer"",""Analyst"",""Researcher""]";"[""Problem-Solving"",""Technical Skills"",""Programming"",""Innovation""]";"[""Computer Science"",""Electrical Engineering"",""Mechanical Engineering"",""Biotechnology""]";"[""Seoul National University"",""KAIST"",""Korea Advanced Institute of Science and Technology (KAIST)"",""Yonsei University"",""Korea Advanced Institute of Science and Technology"",""University of New South Wales""]";"[""Computer Science"",""Electrical Engineering"",""Mechanical Engineering"",""Biotechnology"",""AI""]";"[""Creativity"",""Collaboration"",""Problem-Solving"",""Adaptability""]";"[""Technology"",""Innovation"",""Automotive"",""Gaming""]";2026-04-14 04:56:58.29862+00
9433b6ed-18e9-48f5-9b36-c673b2a5cd46;New Zealand;Oceania;A country consisting of two main islands, East Island and South Island.;50;5,100,000;"[""English"",""Māori""]";Medium;55000;Stable;🇳🇿;"[""agriculture"",""tourism"",""natural beauty"",""tech sector""]";"[""Agriculture"",""Tourism"",""Information Technology"",""Film Production""]";"[""Agribusiness"",""Services"",""Technology"",""Creative Industries""]";"[""Agricultural Science"",""Computer Science"",""Business Administration"",""Film Studies""]";"[""Tourism Manager"",""Agricultural Scientist"",""Software Developer"",""Film Editor""]";"[""Scientist"",""Developer"",""Manager"",""Specialist""]";"[""Adaptability"",""Problem-Solving"",""Technical Skills"",""Communication""]";"[""Agriculture"",""Computer Science"",""Business"",""Film""]";"[""University of Otago"",""University of Auckland"",""Victoria University of Wellington"",""University of New South Wales"",""New York University""]";"[""Agricultural Science"",""Computer Science"",""Business Administration"",""Film Production""]";"[""Teamwork"",""Communication"",""Problem-Solving"",""Creativity""]";"[""Agriculture"",""Tourism"",""Technology"",""Environment""]";2026-04-14 04:56:56.971656+00
190ab1b9-0146-464c-8206-950cc494396d;Chile;South America;A long, narrow country occupying a thin strip of land on South America's western edge.;41;19,107,602;"[""Spanish""]";Medium;15000;Moderate;🇨🇱;"[""mining"",""agriculture"",""technology"",""salmon farming"",""renewable energy""]";"[""Mining"",""Agriculture"",""Forestry"",""Aquaculture"",""Technology""]";"[""Extractive Industries"",""Agribusiness"",""Fisheries"",""Technology"",""Services""]";"[""Mining Engineering"",""Agricultural Engineering"",""Business Administration"",""Computer Science"",""Environmental Science""]";"[""Accountant"",""Mining Engineer"",""Agronomist"",""Aquaculture Specialist"",""Software Developer""]";"[""Engineer"",""Specialist"",""Developer"",""Analyst"",""Manager""]";"[""Data Analysis"",""Mining Operations"",""Spanish Language"",""Salmon Farming"",""Agricultural Management""]";"[""Mining Engineering"",""Agriculture"",""Business"",""Economics"",""Environmental Science""]";"[""University of Concepcion"",""Pontifical Catholic University of Chile"",""Pontificia Universidad Católica de Chile"",""University of Santiago"",""University of Chile"",""Adolfo Ibáñez University"",""Pontifical Catholic University Chile""]";"[""Mining Engineering"",""Agricultural Engineering"",""Business Administration"",""Computer Science"",""Economics""]";"[""Adaptability"",""Problem-Solving"",""Teamwork"",""Communication"",""Innovation""]";"[""Copper Production"",""Agribusiness"",""Renewable Energy"",""Technology Sector"",""Economic Diversification""]";2026-04-14 04:56:42.192987+00
abb23d7c-5f29-4442-834f-0d245ee5cd91;Mauritania;;;;;;High;$110,000;Stable;🌍;;;;;;;;;;;;;2026-04-27 04:22:19.979289+00
3c123a85-d6bb-4251-9459-8df28c27af55;Comoros;;;;;;High;$110,000;Steady;🌍;;;"[""Coastal Tourism"",""Community Health"",""Community Lending""]";"[""Mass Communication"",""Comparative Literature"",""Computational Linguistics"",""Meteorology"",""Cosmetic Science"",""E-Commerce""]";"[""Computational Linguist"",""Meteorologist"",""Aviation Meteorologist"",""Marine Conservation Biologist""]";"[""Coroner"",""Conservation Scientist""]";;"[""Computer Science"",""Comparative Religion"",""Communication Theory"",""Comparative Literature"",""Computational Biology"",""Computational Linguistics""]";;;"[""creativity"",""research"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""Curiosity"",""Forward Thinking"",""Creativity"",""Attention to Detail"",""organization"",""safety"",""design"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Communication"",""Organization"",""Logical Thinking"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience""]";"[""film"",""arts"",""media"",""fashion"",""beauty"",""technology"",""math"",""Technology"",""Science"",""Data Science"",""AI"",""Future"",""Design"",""Art"",""Visuals"",""events"",""ocean"",""home"",""Data"",""Business"",""Productivity"",""Mathematics"",""Programming"",""Computers""]";2026-04-27 04:22:19.979289+00
35c1e3b1-85fa-4dca-8380-4885ca445c60;Lebanon;;;;;;High;$110,000;Stable;🌍;;;;;;;;;;;;;2026-04-27 04:22:19.979289+00
