id;name;category;description;icon_emoji;parent_domain;keywords;created_at;industry;sector;related_careers;related_job_roles;related_universities;related_skills;related_subjects;demand_level;avg_salary_usd;growth_trajectory;soft_skills;interests;countries_in_demand;related_industries;related_sectors;related_courses;related_countries
6dd50464-3482-4b87-815e-accc6fd6c080;Automotive Engineering;Engineering;Design, development, and manufacturing of motor vehicles;🚗;Engineering;"[""automotive"",""cars"",""vehicles"",""EV"",""electric vehicles"",""mechanical""]";2026-03-09 03:31:51.075961+00;Manufacturing & Industrial;Electric Vehicles;"[""Electrical Engineering"",""Biomedical Engineering"",""Software Engineering"",""Mechanical Engineering""]";[];"[""Hanyang University"",""Aalto University"",""Osaka University""]";"[""Civil Engineering"",""Prompt Engineering"",""Mechanical Engineering"",""ChatGPT Prompt Engineering""]";"[""Ceramic Engineering"",""Chemical Reaction Engineering"",""Biomedical Engineering"",""Mechanical Engineering"",""Electrical Engineering"",""Software Engineering"",""Civil Engineering"",""Aerospace Engineering""]";High;$65K-$130K;Essential infrastructure demand;"[""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""engineering""]";"[""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Manufacturing & Industrial"",""Automotive"",""Automotive Aftermarket"",""Automotive OEM""]";"[""Electric Vehicles"",""Automotive"",""Engineering Education""]";"[""Prompt Engineering Professional"",""Prompt Engineering for ChatGPT"",""Engineering Leadership Track"",""Site Reliability Engineering""]";"[""Germany"",""Morocco"",""Turkey"",""Mexico"",""Thailand"",""Romania"",""Czech Republic""]"
e6fc009e-ec1d-4f35-8170-453c9cb89f74;Human Resources;Business;Managing employee recruitment, development, and organizational culture;👥;Business;"[""HR"",""human resources"",""recruitment"",""talent management"",""people operations""]";2026-03-09 03:31:51.075961+00;Banking & Financial Services;Mining & Resources;"[""Human Resources""]";[];"[""Case Western Reserve University"",""University of New South Wales""]";[];"[""Human Resources""]";High;$50K-$90K;Stable;"[""analytical"",""Numeracy"",""Attention to Detail"",""Organization"",""Leadership"",""service"",""precision""]";"[""finance"",""Finance"",""Business"",""Accounting"",""Numbers"",""Management"",""Productivity"",""Data"",""policy"",""risk"",""law""]";"[""USA"",""UK"",""Australia"",""Canada""]";"[""Banking & Financial Services"",""Retail & E-commerce""]";"[""Mining & Resources""]";"[""Salesforce Administrator""]";"[""Afghanistan"",""Kyrgyzstan""]"
06e655ff-e368-4ddc-b7e8-4d5a58e2515d;Writing & Publishing;Creative Arts;Creating written content and managing publication processes;✍️;;"[""writing"",""publishing"",""editing"",""copywriting"",""technical writing"",""authoring""]";2026-03-09 03:31:51.075961+00;Entertainment & Media;Publishing & Journalism;[];[];"[""Hitotsubashi University"",""George Washington University""]";"[""Video Editing"",""Copywriting"",""Technical Writing"",""Content Writing"",""Empathic Listening""]";"[""Literature"",""Creative Writing""]";High;85000;Stable Growth;"[""creativity"",""Creativity"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving""]";"[""fashion"",""beauty"",""Design"",""Art"",""Visuals"",""media"",""engineering"",""design"",""art"",""arts"",""film"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT"",""music""]";"[""USA"",""UK"",""Australia"",""Germany""]";"[""Entertainment & Media"",""Educational Publishing""]";"[""Publishing & Journalism"",""Creative Writing""]";"[""Copywriting Secrets""]";"[""Eritrea"",""Estonia"",""Gambia""]"
8eb5a777-e65b-428f-9f55-2f9dc3f0fad4;Cosmetic Science;Science & Nature;Development and formulation of cosmetic and beauty products;💄;;"[""cosmetics"",""formulation"",""beauty"",""skincare""]";2026-03-09 03:42:40.24542+00;Manufacturing & Industrial;Beauty & Personal Care;"[""Environmental Science"",""Veterinary Science""]";[];[];"[""Environmental Science""]";"[""Political Science"",""Veterinary Science""]";High;$65K-$130K;Essential infrastructure demand;"[""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Manufacturing & Industrial"",""Cosmetics"",""Footwear""]";"[""Beauty & Personal Care""]";"[""The Science of Happiness"",""Advanced Data Science with IBM"",""Python for Data Science"",""The Science of Well-Being"",""Introduction to Computer Science and Programming Using Python"",""IBM Data Science Professional Certificate"",""The Science of Nutrition"",""CS50: Introduction to Computer Science""]";"[""Comoros""]"
2b907257-d712-4084-bcf0-b380e0f57615;Astronomy & Astrophysics;Science & Nature;Study of celestial objects, space, and the physical universe;🔭;Physics;"[""astronomy"",""astrophysics"",""cosmology"",""planets"",""stars"",""galaxies""]";2026-03-09 03:31:51.075961+00;Manufacturing & Industrial;Aerospace;"[""Astrobiology Researcher""]";"[""Geophysicist"",""Physicist""]";[];"[""AlphaFold""]";"[""Astronomy"",""Astrophysics"",""Biophysics"",""Physics"",""Quantum Physics"",""Classical Mechanics""]";emerging;$65K-$140K;Rapid Growth;"[""innovation"",""precision"",""planning"",""negotiation"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""systems thinking"",""safety"",""Analytical Skills""]";"[""space"",""science"",""aviation"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Space & Satellite Technology"",""Manufacturing & Industrial"",""Optics & Photonics""]";"[""Astrobiology""]";"[""Astronomy: Exploring Time and Space"",""Intro to Quantum Computing""]";
85a65e67-ed94-4dda-b5ae-0b0da10b163b;Advertising;Business;Creating and managing promotional campaigns for products and services;📺;;"[""advertising"",""campaigns"",""media buying"",""creative""]";2026-03-09 03:42:40.24542+00;Banking & Financial Services;Advertising;"[""Marketing & Advertising""]";[];"[""Loyola Marymount University"",""Curtin University"",""Goldsmiths University of London"",""Indiana University Bloomington"",""Aarhus University"",""Erasmus University Rotterdam"",""Jindal Global University"",""NIT Rourkela"",""Anna University"",""Brandeis University"",""Drexel University""]";"[""D3.js"",""Chakra UI"",""Empathic Listening"",""Bubble.io""]";"[""Marketing""]";High;$80,000;Steady;"[""creativity"",""Leadership"",""Organization"",""Attention to Detail"",""Communication"",""Creativity"",""analytical"",""Numeracy"",""service"",""precision""]";"[""marketing"",""Business"",""Management"",""Productivity"",""Data"",""Marketing"",""Online"",""finance"",""Finance"",""Accounting"",""Numbers"",""policy"",""risk"",""law"",""arts""]";"[""USA"",""UK"",""Australia"",""Canada"",""India"",""Germany""]";"[""Advertising & Marketing"",""Banking & Financial Services"",""Educational Publishing"",""AR/VR & Metaverse"",""Online Gaming"",""Consulting - Management""]";"[""Advertising"",""Arts & Creative""]";[];
2dede02a-5ba0-49db-8e58-92c20a471d80;Dendrology;Botany;Study of trees and woody plants;🌳;;"[""trees"",""botany"",""forestry"",""ecology""]";2026-04-06 06:53:11.32923+00;Environmental & Sustainability;Forestry & Timber;"[""Hydrologist"",""Biotechnology"",""Ecologist"",""Zoologist"",""Marine Biologist"",""Restoration Ecologist""]";"[""Hydrologist"",""Ecologist"",""Marine Biologist""]";[];[];"[""Ecology"",""Botany"",""Biology"",""Zoology"",""Agroecology"",""Microbiology"",""Cell Biology""]";Medium;$60,000;Stable;"[""outdoors""]";"[""nature""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia""]";"[""Biotechnology"",""Hydropower"",""Renewable Energy"",""Energy & Utilities"",""Geothermal Energy""]";"[""Forestry & Timber"",""Wind Energy"",""Solar Energy"",""Energy Storage"",""Energy & Utilities"",""Alternative Energy""]";"[""Renewable Energy Specialization"",""The Business of Renewable Energy""]";
b821af4a-97c7-417d-9fd8-13f9ae0047dd;Physics;Science & Nature;Study of matter, energy, and fundamental forces of nature;⚛️;;"[""physics"",""quantum mechanics"",""relativity"",""thermodynamics"",""particle physics""]";2026-03-09 03:31:51.075961+00;Manufacturing & Industrial;Manufacturing;"[""Robotics Engineer"",""Robotics & Automation""]";"[""Physicist"",""Geophysicist"",""Robotics Engineer"",""ASIC Design Engineer"",""Biochemist""]";"[""École Polytechnique"",""Loughborough University"",""Politecnico di Milano"",""Duke University"",""Harvard University""]";"[""Statistics"",""Data Analysis"",""Discrete Event Simulation""]";"[""Electromagnetism"",""Quantum Physics"",""Physics"",""Biophysics"",""Physiology"",""Astrophysics"",""Robotics"",""Classical Mechanics"",""Acoustics"",""Aerodynamics""]";High;$65K-$130K;Essential infrastructure demand;"[""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Manufacturing & Industrial"",""Optics & Photonics"",""Microelectronics"",""Robotics & Automation"",""Industrial Robotics"",""Consumer Electronics"",""Mechatronics""]";"[""Consumer Robotics"",""Energy Storage""]";[];
4685ab3a-8a95-4d88-b901-e549de8eeb9c;Public Administration;Government;Management of government organizations and public policy;🏛️;;"[""public administration"",""government"",""policy"",""bureaucracy""]";2026-03-09 03:42:40.643507+00;Government & Public Policy;Government & Defense;"[""Public Health""]";[];"[""Boston College""]";"[""Linux Administration"",""Public Speaking""]";"[""Public Health"",""Business Administration"",""Political Science""]";High;$70,000;Stable;"[""service"",""analytical"",""Numeracy"",""Attention to Detail"",""empathy""]";"[""policy"",""risk"",""Finance"",""Business"",""Accounting"",""law"",""psychology""]";"[""USA"",""UK"",""Australia"",""India""]";"[""Government & Public Policy"",""Government & Public Sector"",""Non-Profit & NGOs""]";"[""Government & Defense"",""Public Health""]";"[""Public Speaking Mastery"",""Public Health Foundations"",""Salesforce Administrator""]";"[""Kuwait"",""Afghanistan"",""Albania"",""Andorra"",""Barbados"",""Bhutan"",""Brunei"",""Burundi"",""Cameroon"",""Dominica"",""Dominican Republic"",""Cambodia"",""El Salvador"",""Estonia"",""Eswatini"",""Gambia"",""Iraq"",""Kiribati"",""Kyrgyzstan"",""Laos"",""Angola"",""Belarus"",""Belize"",""Bolivia""]"
0ccb59f7-16a3-40e4-b498-66cfe33a07e2;Anthropology;Social Sciences;Study of human societies, cultures, and their development;🏺;;"[""anthropology"",""culture"",""ethnography"",""human evolution""]";2026-03-09 03:42:40.24542+00;Manufacturing & Industrial;;[];[];"[""Central European University""]";[];"[""Anthropology"",""Cultural Studies"",""Cultural Anthropology"",""Anthropology of Religion"",""Design Anthropology"",""Sociology"",""Christian Theology""]";High;$65K-$130K;Essential infrastructure demand;"[""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Manufacturing & Industrial""]";;[];"[""Angola""]"
