id;name;description;icon_emoji;keywords;created_at;demand_level;avg_salary_usd;growth_trajectory;soft_skills;interests;countries_in_demand;related_sectors;related_domains;related_careers;related_job_roles;related_skills;related_subjects;related_universities;related_courses;related_countries
531f5dc9-ad74-49d1-9086-49eb2ac2af2d;Footwear;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;35000;Moderate;"[""creativity"",""Creativity"",""Attention to Detail"",""negotiation"",""Leadership"",""Organization"",""analytical"",""Numeracy"",""precision"",""Communication"",""safety"",""planning"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""Analytical Skills""]";"[""Technology"",""Tourism"",""Business"",""Education""]";"[""Portugal""]";"[""Circular Fashion""]";"[""Cosmetic Science""]";"[""Milliner""]";;;;;;"[""Portugal""]"
dc342bff-1e77-4964-9634-6cfcfe3ee56e;Green Hydrogen;;🏭;[];2026-04-27 04:20:04.488691+00;Very High;$105,000;High growth in gene therapy and pharma;"[""research"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""Problem Solving"",""precision"",""service"",""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""analytical"",""Analytical Thinking"",""Innovation"",""Critical Thinking"",""Communication"",""Attention to Detail"",""Organization"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""Technical Aptitude""]";"[""biology"",""environment"",""energy"",""Environment"",""Sustainability"",""Technology"",""making"",""policy"",""aviation"",""engineering"",""property"",""technology"",""coding"",""Programming"",""Computers"",""Computer Science"",""Coding"",""math"",""Science"",""Data Science"",""AI"",""Mathematics"",""Data"",""Business""]";"[""USA"",""UK"",""Australia"",""India"",""Germany"",""Laos"",""Angola""]";"[""Energy Storage""]";;"[""Biotechnology""]";;;;"[""EPFL""]";;"[""Laos"",""Angola""]"
e6902564-683c-40df-8852-68c8ff245e64;Automotive Aftermarket;;🏭;[];2026-04-27 04:20:04.488691+00;High;$85,000;Transforming;"[""engineering""]";"[""cars""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Automotive"",""Autonomous Driving"",""Autonomous Vehicles"",""Auto Components"",""Auto Manufacturing""]";"[""Automotive Engineering"",""Digital Marketing"",""Embedded Systems""]";"[""Digital Marketer"",""Marketing & Advertising"",""Copywriter""]";"[""Growth Marketer"",""Field Marketing Manager"",""Marketing Operations Manager"",""Copywriter"",""Conversion Copywriter""]";"[""Performance Marketing"",""Email Marketing"",""Digital Marketing"",""Social Media Marketing"",""SEM / Google Ads"",""Sales & Negotiation""]";"[""Marketing"",""Autonomous Systems""]";;"[""Content Marketing Mastery"",""Introduction to Digital Marketing"",""Google Digital Marketing Certificate"",""Meta Social Media Marketing Certificate"",""HubSpot Inbound Marketing Certification"",""Hootsuite Social Marketing Certification""]";
455b31bd-06a4-46ae-8fad-5b02d79ad024;Broadcasting;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;$35K-$80K;Strong Growth;"[""creativity"",""Communication"",""Creativity"",""analytical"",""Leadership"",""Organization"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving"",""negotiation"",""service"",""problem-solving"",""Logical Thinking"",""innovation"",""safety"",""Analytical Skills""]";"[""media"",""marketing"",""content"",""Marketing"",""Business"",""Online"",""business"",""Management"",""Productivity"",""fashion"",""beauty"",""Design"",""Art"",""Visuals"",""engineering"",""design"",""art"",""arts"",""film"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT""]";"[""USA"",""UK"",""Australia"",""Germany"",""India"",""Canada""]";"[""Media & Entertainment"",""Publishing & Journalism""]";"[""Criminal Justice""]";"[""Journalism & Media"",""Broadcast Journalist""]";;"[""Empathic Listening""]";"[""Journalism""]";"[""Lancaster University""]";;"[""Grenada"",""Latvia""]"
98f18819-b285-4b5e-a318-c9fbaa5486b3;Freight Forwarding;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;$75,000;Stable;"[""safety"",""planning"",""Leadership"",""Organization"",""Attention to Detail""]";"[""ocean"",""operations"",""Business"",""Management"",""Productivity"",""Data""]";"[""USA"",""UK"",""Australia"",""Canada""]";"[""Freight & Shipping""]";"[""Marine Engineering"",""Transportation Engineering""]";;;"[""Strategic Planning""]";;"[""Indian Institute of Foreign Trade""]";;"[""Iraq"",""Angola""]"
9a147f37-a99f-4539-983e-d394ae5bdbaf;Furniture;;🏭;[];2026-04-27 04:20:04.488691+00;Low;$55,000;Steady;"[""design""]";"[""home""]";"[""USA"",""UK"",""Australia"",""Canada"",""Germany"",""India""]";"[""Furniture & Home Goods""]";;"[""Furniture Maker""]";;;;;;
69341599-cf8f-4105-92bb-3223c2f0f9a0;Dairy Products;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;$60,000;From cook to executive chef;"[""patience"",""creativity"",""service"",""empathy"",""innovation"",""safety"",""analytical"",""systems thinking"",""Analytical Skills"",""Problem Solving"",""Critical Thinking"",""Logical Thinking"",""Analytical Thinking"",""Innovation"",""Self-awareness"",""Emotional Intelligence"",""research"",""Communication"",""Attention to Detail"",""Organization"",""discipline"",""precision"",""planning"",""negotiation""]";"[""food"",""arts"",""policy"",""psychology"",""environment"",""geology"",""ocean"",""math"",""technology"",""Environment"",""Sustainability"",""Technology"",""Data"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""Personal Growth"",""Mental Health"",""biology"",""animals"",""Science"",""Mathematics""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia"",""Belize""]";"[""Bakery & Confectionery"",""Brewery & Distillery"",""Culinary Arts""]";"[""Culinary Arts""]";;"[""Chef / Culinary Director""]";"[""Celery""]";;;"[""Stanford Introduction to Food and Health""]";"[""Belize""]"
93a8a0a1-aeab-4a43-8881-cf074f19090b;Ocean Freight;;🏭;[];2026-04-27 04:20:04.488691+00;Medium;$75,000;Stable;"[""safety"",""planning"",""Leadership"",""Organization"",""Attention to Detail""]";"[""ocean"",""operations"",""Business"",""Management"",""Productivity"",""Data""]";"[""USA"",""UK"",""Australia"",""Canada""]";"[""Freight & Shipping""]";"[""Oceanography""]";"[""Oceanographer""]";;;;"[""Ocean University of China"",""Indian Institute of Foreign Trade""]";;"[""Iraq""]"
b633c19d-8866-48e0-991d-f82fa8358634;Hydropower;;🏭;[];2026-04-27 04:20:04.488691+00;High;$65K-$130K;Stable;"[""systems thinking"",""safety"",""public health"",""outdoors"",""innovation"",""analytical"",""Analytical Skills"",""Problem Solving"",""Critical Thinking"",""Logical Thinking"",""Analytical Thinking"",""Innovation"",""Self-awareness"",""Emotional Intelligence"",""research"",""empathy"",""Numeracy"",""Attention to Detail"",""Organization"",""precision"",""service"",""planning"",""negotiation"",""Leadership""]";"[""environment"",""geology"",""nature"",""ocean"",""math"",""technology"",""Environment"",""Sustainability"",""Technology"",""Data"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""Personal Growth"",""Mental Health"",""biology"",""animals"",""finance"",""Finance"",""Accounting"",""Numbers"",""law""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia"",""Guyana"",""Cambodia"",""Laos"",""Belize"",""Bolivia""]";"[""Disaster Relief"",""Water & Sanitation"",""Closed Loop Water"",""Property Development""]";"[""Hydrology"",""Water Resources Engineering"",""Project Management"",""Dendrology""]";"[""Hydrologist"",""Forester"",""Geographer"",""Oceanographer"",""Urban Planner""]";"[""Hydrologist"",""Energy Trader"",""Fire Engineer"",""Marine Engineer"",""Civil Engineer""]";"[""CFD Simulation""]";"[""Disaster Management""]";"[""EPFL""]";"[""The Complete Cyber Security Course""]";"[""Guyana"",""Cambodia"",""Laos"",""Belize"",""Bolivia""]"
531f3951-9e60-4598-9498-87acebc5d9c6;Outdoor Recreation;;🏭;[];2026-04-27 04:20:04.488691+00;High;$70,000;Strong Growth;"[""discipline""]";"[""sports""]";"[""USA"",""UK"",""Canada"",""India"",""Australia"",""Germany""]";"[""Sports & Recreation"",""Water & Sanitation""]";"[""Water Resources Engineering"",""Geoinformatics""]";"[""Restoration Ecologist"",""Marine Conservation Biologist"",""Drone Pilot / Operator"",""Surveyor""]";"[""Conservation Scientist"",""Drone Operator"",""Yoga Instructor""]";"[""Research & Development"",""Capybara""]";"[""Animal Behavior""]";;"[""First Aid & CPR Certification"",""Introduction to Sustainability""]";"[""Belize""]"
