id;title;domain;description;seniority_levels;avg_salary_usd;demand_level;skills_required;education_required;certifications;keywords;career_path_keywords;created_at;industry;sector;related_subjects;related_universities;related_domains;growth_trajectory;soft_skills;interests;countries_in_demand;related_careers;related_industries;related_sectors;related_skills;related_courses;related_countries
0a052344-40e1-4901-8a87-250d360c76eb;HVAC Technician;Trades;Installs and repairs heating and air conditioning systems;[];40000;High;"[""HVAC"",""Refrigeration"",""Electrical""]";;[];[];"[""HVAC"",""air conditioning"",""heating""]";2026-04-07 04:56:33.423341+00;Information Technology;;[];[];[];Transforming;"[""safety"",""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""Analytical Skills"",""engineering""]";"[""energy"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""Environment"",""Sustainability""]";"[""USA"",""Germany"",""UK"",""Australia"",""India""]";[];"[""HVAC Systems"",""Kitchen & Bath"",""Gas Utilities"",""Automotive""]";;[];;
024ee37c-d8f2-4595-b5d4-c1384f7aae9a;Copywriter;Creative Arts;Writes persuasive copy for marketing and advertising;[];$80,000;Medium;"[""writing"",""creativity"",""SEO"",""brand voice""]";;[];"[""copywriting"",""advertising"",""content""]";"[""Marketing & Advertising""]";2026-03-09 03:42:45.923926+00;Entertainment & Media;Advertising;[];"[""Boston College"",""Concordia University"",""Lancaster University"",""Northwestern University Qatar""]";"[""E-Commerce"",""Communications & PR"",""Gender Studies"",""Comparative Literature""]";Stable Growth;"[""creativity"",""Leadership"",""Organization"",""Attention to Detail"",""Communication"",""Creativity""]";"[""marketing"",""Business"",""Management"",""Productivity"",""Data"",""Marketing"",""Online"",""content"",""media"",""fashion"",""Design"",""Art"",""Visuals"",""music"",""arts"",""film""]";"[""USA"",""UK"",""Australia"",""Canada"",""India""]";"[""Marketing & Advertising"",""Copywriter"",""Fashion Design"",""Music & Audio"",""Film & Entertainment""]";"[""Automotive Aftermarket"",""Cosmetics"",""Retail & E-commerce"",""Luxury Goods"",""E-commerce Marketplaces""]";;"[""Copywriting"",""SEO"",""Content Writing""]";;"[""Eritrea"",""Estonia""]"
432a081a-7e30-4ebd-b77e-f52ed65d8860;AI Ethics Officer;General;;[];45000;High;[];;[];[];[];2026-04-27 04:22:33.809021+00;Legal & Compliance;Risk & Compliance;[];"[""University of New South Wales""]";"[""Criminal Justice""]";Stable;"[""analytical"",""outdoors""]";"[""law"",""nature""]";"[""USA"",""UK"",""Australia"",""Canada"",""India"",""Germany""]";"[""Compliance Officer"",""Forestry Officer""]";"[""LegalTech"",""Internet of Things""]";"[""AI Tooling""]";"[""D3.js"",""Empathic Listening"",""AlphaFold""]";"[""AI for Everyone - Coursera""]";
0574de3d-0462-47b6-8d6c-256a855a2f2e;Interior Designer;Interior Design;Plans and designs functional and aesthetic interior spaces;"[""Junior"",""Mid"",""Senior"",""Principal""]";$40K-$90K;Medium;"[""AutoCAD"",""SketchUp"",""space planning"",""materials"",""3D rendering""]";Bachelor in Interior Design;[];"[""interior design"",""spaces"",""decoration""]";"[""Interior Design"",""Architecture""]";2026-03-09 03:33:46.151983+00;Entertainment & Media;Beauty & Personal Care;"[""Interior Design""]";"[""Lancaster University""]";[];Strong Growth;"[""Creativity"",""Attention to Detail"",""creativity""]";"[""Design"",""Art"",""Visuals"",""fashion"",""beauty""]";"[""USA"",""UK"",""Australia""]";"[""Interior Designer"",""Perfumer / Fragrance Designer"",""Toy Designer"",""Textile Designer"",""UX Designer"",""Prosthetics Designer"",""Puppeteer / Puppet Designer"",""Fragrance Designer"",""Costume Designer"",""Sound Designer"",""Industrial Designer""]";"[""Interior Design"",""Kitchen & Bath"",""Luxury Goods""]";;[];;"[""Eritrea""]"
2cd11f58-e658-453e-a5a7-fd9c7cf30771;Dietitian;Healthcare;Plans nutrition programs and counsels patients on diet;[];$70,000;High;"[""nutrition"",""meal planning"",""counseling""]";;[];"[""dietitian"",""nutrition"",""food""]";"[""Nutrition""]";2026-03-09 03:42:45.923926+00;Healthcare & Life Sciences;Wellness & Fitness;"[""Nutrition""]";"[""Indiana University Bloomington""]";[];Rapid Growth;"[""empathy"",""research"",""discipline"",""patience"",""creativity"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Logical Thinking"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail"",""Organization""]";"[""medicine"",""health"",""biology"",""psychology"",""food"",""arts"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""math"",""technology"",""animals"",""Data"",""Technology"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""sports"",""environment""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";"[""Midwife"",""Medicine"",""Chiropractor"",""Optometrist"",""Dentistry"",""Acupuncturist"",""Culinary Arts"",""Paramedic"",""Clinical Psychologist"",""Pathologist"",""Public Health"",""Podiatrist"",""Gerontologist"",""Dietitian"",""Veterinary Science"",""Physiotherapist"",""Neurologist"",""Pharmacy"",""Psychiatrist"",""Audiologist"",""Nursing"",""Food Scientist"",""Veterinarian"",""Kinesiologist"",""Pharmacist"",""Dermatologist"",""Radiographer"",""Nutritionist""]";"[""Diagnostic Labs""]";;[];;"[""Dominican Republic"",""Haiti"",""Kyrgyzstan""]"
c1541f23-2dfd-4de6-bc57-f0b7ec9255c6;Cybersecurity Analyst;Cybersecurity;Monitors and protects systems from security threats;"[""Junior"",""Mid"",""Senior"",""Lead"",""CISO""]";$65K-$160K;Very High;"[""SIEM"",""penetration testing"",""incident response"",""firewall"",""compliance""]";Bachelor in CS/Cybersecurity + certs;[];"[""cybersecurity"",""infosec"",""security""]";"[""Cybersecurity"",""Information Security""]";2026-03-09 03:33:46.151983+00;Information Technology;Security Services;"[""Cybersecurity""]";"[""Arizona State University"",""Loyola Marymount University"",""Middlesex University"",""ETH Zurich"",""Tsinghua University"",""University of Vienna"",""Kyoto University"",""Concordia University"",""Lancaster University"",""Aligarh Muslim University"",""Case Western Reserve University"",""Curtin University"",""Hanyang University"",""Edinburgh Napier University"",""Brigham Young University"",""Heriot-Watt University"",""University of New South Wales"",""Cranfield University"",""Indiana University Bloomington"",""Aalto University"",""Aarhus University"",""Erasmus University Rotterdam"",""Iowa State University"",""ISI Kolkata"",""Jamia Millia Islamia"",""Jindal Global University"",""Keio University"",""Ohio State University"",""Oregon State University"",""Northwestern University Qatar""]";"[""Cybersecurity"",""Embedded Systems""]";Rapidly Growing;"[""vigilance"",""analytical"",""Problem Solving"",""Analytical Thinking""]";"[""security"",""law"",""Technology"",""Security"",""Computers""]";"[""USA"",""UK"",""Germany""]";"[""Locksmith"",""Cybersecurity"",""Ethical Hacker"",""Cryptocurrency Analyst""]";"[""Identity & Access"",""Healthcare IT"",""IT Hardware""]";"[""Algorithmic Trading""]";"[""Ethical Hacking"",""Cryptography"",""Cybersecurity Fundamentals"",""Cybersecurity"",""D3.js"",""Cassandra"",""DynamoDB"",""Cloudflare Workers"",""BeautifulSoup"",""C++ STL""]";"[""Cybersecurity Foundations - SANS"",""Cybersecurity Fundamentals""]";"[""Eritrea"",""Haiti""]"
1a08b175-14ea-495d-9533-67b3411fdc3f;Investment Analyst;Finance;Researches and recommends investment opportunities;[];$50K-$90K;High;"[""financial modeling"",""research"",""valuation""]";;[];"[""investment"",""analysis"",""stocks""]";"[""Investment Banking""]";2026-03-09 03:42:46.25111+00;Banking & Financial Services;Financial Services;"[""Finance""]";"[""Narsee Monjee Institute"",""Case Western Reserve University"",""Indiana University Bloomington"",""Jamia Millia Islamia"",""Keio University"",""Anna University"",""Goa Institute of Management""]";[];Stable;"[""analytical"",""Numeracy"",""Attention to Detail"",""Organization"",""precision"",""Leadership"",""service""]";"[""finance"",""Finance"",""Business"",""Accounting"",""Numbers"",""law"",""Management"",""Productivity"",""Data"",""policy"",""risk""]";"[""USA"",""UK"",""Australia"",""Canada""]";"[""Financial Analyst"",""Accountant"",""Chartered Accountant"",""Accounting & Finance"",""Insurance Underwriter"",""Bookkeeper"",""Cryptocurrency Analyst"",""Actuarial Analyst"",""Investment Banking""]";"[""Consulting - Management""]";"[""Investment Banking""]";"[""Critical Thinking"",""Investment Analysis"",""Anchor (Solana)""]";;"[""Bahamas"",""Burundi"",""Gambia"",""Iraq"",""Angola"",""Belarus"",""Bahrain"",""Benin"",""Botswana""]"
154b34ec-9c7d-4d9d-bbaf-e27f7716b830;Lawyer;Law & Legal Studies;Advises and represents clients in legal matters;"[""Associate"",""Senior Associate"",""Partner"",""Senior Partner""]";$70K-$250K+;High;"[""legal research"",""litigation"",""contract drafting"",""negotiation"",""compliance""]";JD/LLB degree + Bar admission;[];"[""law"",""attorney"",""litigation""]";"[""Law"",""Legal""]";2026-03-09 03:33:46.151983+00;Legal & Compliance;Legal Services;[];"[""Lancaster University"",""Edinburgh Napier University"",""Jamia Millia Islamia"",""Keio University""]";"[""Philosophy""]";Stable;"[""analytical""]";"[""law""]";"[""USA"",""UK"",""Germany"",""Australia"",""Canada"",""India""]";"[""Law"",""Judge""]";"[""LegalTech""]";;[];;"[""Burundi"",""Estonia"",""Croatia"",""Gambia"",""Iraq"",""Kiribati"",""Latvia""]"
1757fe9f-bf09-4355-92db-e22fc55fcbe4;Toxicologist;Science/Healthcare;Studies harmful effects of chemicals on organisms;[];65000;Medium;"[""Toxicology"",""Chemistry"",""Pharmacology""]";;[];[];"[""toxicology"",""chemicals"",""safety""]";2026-04-07 04:56:33.423341+00;Healthcare & Life Sciences;Biotech;[];"[""Aarhus University"",""Osaka University""]";"[""Epidemiology"",""Thanatology"",""Immunology"",""Nephrology"",""Oncology"",""Endocrinology"",""Parasitology"",""Mycology"",""Chronobiology""]";Rapid Growth;"[""research""]";"[""biology""]";"[""USA"",""India"",""UK"",""Canada"",""Australia"",""Germany""]";"[""Geneticist"",""Microbiologist""]";"[""Fertilizers""]";;[];;"[""Cambodia"",""Gambia""]"
db1a5377-7404-4c6e-9a28-470f5a7c2c11;DevOps Engineer;Technology;Manages CI/CD pipelines and infrastructure automation;[];85000;High;"[""Docker"",""Kubernetes"",""CI/CD"",""Linux"",""Terraform""]";;[];[];"[""DevOps"",""infrastructure"",""automation""]";2026-04-07 04:56:33.423341+00;Information Technology;DevOps & Infrastructure;"[""Robotics""]";[];[];Rapidly Growing;"[""research"",""analytical"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Logical Thinking"",""Critical Thinking"",""Communication"",""Attention to Detail"",""Organization"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""precision"",""patience"",""planning"",""negotiation"",""problem-solving"",""Technical Aptitude"",""Curiosity"",""Forward Thinking""]";"[""technology"",""math"",""Technology"",""Science"",""Data Science"",""AI"",""Mathematics"",""Data"",""Business"",""Visuals"",""Productivity"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports"",""health"",""making"",""food"",""engineering"",""property""]";"[""USA"",""UK"",""Germany"",""Canada"",""Australia"",""India""]";"[""Data Science"",""Data Engineer"",""Software Engineering"",""Cloud Computing & DevOps"",""Cloud Architect"",""Artificial Intelligence"",""Game Development"",""Product Management"",""Cybersecurity"",""Robotics & Automation"",""Blockchain & Web3"",""Quantum Computing"",""Robotics Process Automation Developer"",""Agricultural Engineer"",""Biomedical Engineer"",""Robotics Engineer"",""Sound Engineer""]";;"[""DevOps & Infrastructure""]";"[""AWS"",""Terraform"",""Kubernetes"",""Cloud Architecture"",""CI/CD"",""DevOps"",""Docker"",""Azure DevOps"",""DevSecOps""]";"[""Elastic Stack Engineer"",""Azure Data Engineer Associate"",""Linux Foundation Certified Engineer"",""AWS DevOps Engineer Pro""]";
