id;name;platform;url;domain;description;difficulty;duration;avg_rating;price_range;demand_level;avg_salary_usd;growth_trajectory;soft_skills;interests;countries_in_demand;icon_emoji;keywords;related_industries;related_sectors;related_domains;related_careers;related_job_roles;related_skills;related_subjects;related_universities;related_courses;related_countries;created_at
f7145562-14e9-4391-94ae-fed8e61cd9ee;MongoDB University - M001;;;Data;;;;;;High;92000;Stable Growth;"[""research"",""analytical"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Logical Thinking"",""Critical Thinking"",""Communication"",""Attention to Detail"",""Organization"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""precision"",""patience"",""planning"",""negotiation"",""problem-solving"",""empathy"",""organization"",""safety""]";"[""technology"",""math"",""Technology"",""Science"",""Data Science"",""AI"",""Mathematics"",""Data"",""Business"",""Visuals"",""Productivity"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports"",""health"",""making"",""food"",""engineering"",""property""]";"[""USA"",""UK"",""Germany"",""Canada"",""Australia"",""India""]";📖;;;;;;;"[""MongoDB"",""ABAP"",""Dremio"",""D3.js"",""DynamoDB"",""Elixir""]";;"[""Anna University"",""Brandeis University"",""Cardiff University"",""Concordia University"",""Cranfield University"",""Curtin University"",""Dalhousie University"",""Drexel University"",""Durham University"",""Emory University"",""Hanyang University"",""Jadavpur University"",""Keio University"",""KIIT University"",""Lancaster University"",""Leiden University"",""Linkoping University"",""McMaster University"",""Middlesex University""]";;;2026-04-27 04:22:06.830109+00
70a02753-bb16-4580-a9d0-67ef8d0856c5;CSS Grid & Flexbox Mastery;;;Web;;;;;;High;85000;Rapidly Growing;"[""Creativity"",""Attention to Detail"",""creativity"",""Leadership"",""Organization"",""Communication"",""problem-solving"",""Problem Solving"",""Collaboration"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""negotiation"",""innovation"",""patience"",""empathy"",""safety"",""Analytical Skills"",""public health"",""analytical"",""Critical Thinking"",""Logical Thinking"",""Analytical Thinking""]";"[""Design"",""Art"",""Visuals"",""marketing"",""Business"",""Management"",""Productivity"",""Data"",""Marketing"",""Online"",""technology"",""coding"",""Technology"",""Mobile Apps"",""Programming"",""Web Development"",""Coding"",""fashion"",""beauty"",""media"",""engineering"",""design"",""art"",""arts""]";"[""USA"",""UK"",""Australia"",""Canada"",""India"",""Germany""]";📖;;;;;;;"[""CSS Grid"",""Tailwind CSS"",""Chakra UI""]";;;"[""Content Marketing Mastery"",""Git & GitHub Mastery"",""Java Spring Boot Mastery"",""Node.js Backend Mastery"",""Power BI Mastery"",""SEO Mastery 2024"",""Public Speaking Mastery"",""Negotiation Mastery""]";;2026-04-27 04:22:06.830109+00
11a2c77d-f79d-4153-a160-5bc18fb16c66;Serverless with AWS Lambda;;;Cloud;;;;;;Very High;125000;Rapidly Growing;"[""systems thinking"",""planning"",""Technical Aptitude"",""Problem Solving"",""negotiation"",""research"",""analytical"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Logical Thinking"",""Critical Thinking"",""Communication"",""Attention to Detail"",""Organization"",""innovation"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""precision"",""patience"",""problem-solving"",""Curiosity"",""Forward Thinking""]";"[""technology"",""engineering"",""Technology"",""Cloud Computing"",""IT"",""property"",""math"",""Science"",""Data Science"",""AI"",""Mathematics"",""Data"",""Business"",""Visuals"",""Productivity"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports"",""health""]";"[""USA"",""UK"",""Germany"",""Canada"",""Australia"",""India""]";📖;;"[""IT Services""]";;;;;"[""AWS"",""CDK (AWS)"",""ABAP"",""Akka"",""ASP.NET"",""D3.js"",""DynamoDB"",""Elixir""]";;;"[""AWS DevOps Engineer Pro"",""AWS Certified Cloud Practitioner"",""AWS Certified Solutions Architect""]";;2026-04-27 04:22:06.830109+00
dea7b6f5-c192-4e68-9083-c2b475d848a2;Graph Databases with Neo4j;;;AI;;;;;;High;125000;Rapidly Growing;"[""analytical"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Critical Thinking"",""Communication"",""Logical Thinking"",""precision"",""Attention to Detail"",""Organization"",""research"",""Problem Solving"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""planning"",""negotiation"",""problem-solving"",""Technical Aptitude"",""Curiosity"",""Forward Thinking""]";"[""math"",""technology"",""Data Science"",""AI"",""Technology"",""Data"",""Business"",""Visuals"",""Mathematics"",""Science"",""making"",""Productivity"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports"",""health"",""food"",""engineering"",""property""]";"[""USA"",""UK"",""Germany"",""Canada"",""Australia"",""India""]";📖;;;;;;;"[""Vector Databases"",""SQL & Databases"",""ABAP"",""Dremio"",""DynamoDB"",""Elixir""]";;;;;2026-04-27 04:22:06.830109+00
cb73fd9c-a380-4ea1-aaba-bc769698c726;Blender 3D Modeling Bootcamp;Udemy;https://www.udemy.com/;Design;3D modeling and animation;Beginner;40 hours;;Paid;High;85000;Stable Growth;"[""Creativity"",""Attention to Detail"",""analytical"",""creativity"",""empathy"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""planning"",""discipline"",""Analytical Skills"",""Critical Thinking"",""Logical Thinking"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""innovation"",""safety"",""systems thinking"",""research"",""communication"",""negotiation""]";"[""Design"",""Art"",""Visuals"",""research"",""fashion"",""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""engineering"",""design"",""art"",""arts"",""sports"",""math"",""technology"",""health"",""Data"",""Technology"",""Business"",""Programming""]";"[""USA"",""UK"",""Australia"",""Canada"",""India"",""Germany""]";📖;"[""blender"",""3d""]";"[""Online Gaming""]";;[];"[""Urban Planning"",""Illustrator"",""Interior Designer"",""Landscape Architect"",""Graphic Design"",""Architecture"",""UX/UI Design"",""Industrial Designer""]";;"[""Adobe Photoshop"",""UX Design"",""Adobe XD"",""Adobe Illustrator"",""3D Modeling"",""Motion Design"",""UI Design"",""Figma"",""3D Modeling & Animation"",""Financial Modeling"",""Caliper"",""Diffusion Models"",""Ansible""]";"[""Climate Modeling""]";[];"[""The Complete Android App Development Bootcamp"",""The Complete SQL Bootcamp 2024"",""Behavioral Design Bootcamp"",""The Complete Productivity Bootcamp"",""Solidity Developer Bootcamp"",""PyTorch for Deep Learning Bootcamp"",""The Complete Python Bootcamp From Zero to Hero in Python"",""The Complete Web Developer Bootcamp"",""The Complete iOS App Development Bootcamp"",""Financial Modeling & Valuation"",""Go Programming Bootcamp"",""Penetration Testing Bootcamp"",""Clean Code Bootcamp""]";;2026-04-18 01:09:25.053447+00
c97330b3-d249-4303-a674-5b5e569e87e3;Algorithms Specialization - Stanford;;;Technology;;;;;;Very High;$90,000;High;"[""organization"",""safety"",""design"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Communication"",""Analytical Thinking"",""Innovation"",""Attention to Detail"",""Organization"",""Logical Thinking"",""research"",""Problem Solving"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""languages"",""service"",""planning"",""Technical Aptitude""]";"[""events"",""ocean"",""home"",""math"",""technology"",""Data"",""Technology"",""Business"",""Visuals"",""Data Science"",""AI"",""Productivity"",""Mathematics"",""Science"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports"",""health"",""food""]";"[""USA"",""UK"",""Canada"",""Australia"",""Germany"",""India""]";📖;;"[""Information Security"",""Information Technology"",""Robotics & Automation"",""Artificial Intelligence"",""Artificial Intelligence & Machine Learning""]";"[""Algorithmic Trading"",""Application Security"",""Information Technology"",""Computer Vision"",""Conversational AI""]";"[""Information Systems"",""Statistics"",""Geoinformatics"",""Bioinformatics"",""Operations Research"",""Computational Linguistics""]";"[""Robotics & Automation"",""Robotics Process Automation Developer"",""Computational Linguist"",""Artificial Intelligence"",""Cybersecurity""]";"[""Algorithm Engineer"",""Application Security Engineer"",""IoT Solutions Architect"",""Full Stack Developer""]";"[""Data Visualization"",""Statistics"",""Computer Vision"",""Artificial Intelligence"",""C++ STL"",""Apache Spark"",""Akka"",""Dropwizard"",""AlphaFold"",""Containerization"",""CFD Simulation""]";"[""Algorithms"",""Information Systems"",""Statistics"",""Decision Theory"",""Computational Biology"",""Operations Management"",""Algebraic Topology""]";"[""Stanford University"",""EPFL""]";"[""Algorithms Specialization"",""Python for Everybody Specialization"",""Anatomy Specialization"",""Advanced Algorithms - Princeton"",""JavaScript Algorithms & Data Structures"",""Data Structures & Algorithms in Python"",""Excel Skills for Business Specialization"",""Deep Learning Specialization"",""Natural Language Processing Specialization"",""Renewable Energy Specialization""]";"[""United States""]";2026-04-27 04:22:06.830109+00
a653087f-2052-45a4-968c-b6f94de87c79;Introduction to Digital Marketing;Coursera;https://www.coursera.org/learn/introduction-to-digital-marketing;Marketing;Explore the core components of digital marketing, including SEO, content marketing, social media marketing, and email marketing.;Beginner;9 hours;4.6;$49/month subscription;High;$70,000;High;"[""Communication"",""Creativity""]";"[""Marketing"",""Business"",""Online""]";"[""USA"",""UK"",""India""]";📈;"[""digital marketing"",""SEO"",""social media""]";"[""Marketing"",""E-commerce"",""Advertising"",""Digital Marketing"",""Advertising & Marketing"",""Digital Payments"",""Influencer Marketing"",""Automotive Aftermarket"",""Educational Publishing"",""Cosmetics"",""MarTech"",""E-commerce Marketplaces""]";"[""Online Advertising"",""Content Creation"",""Brand Management"",""Digital Content & Social Media"",""Digital Therapeutics""]";"[""Online Advertising"",""Content Marketing"",""Content Creation & Media"",""Social Media Management"",""Marketing Strategy"",""Digital Marketing"",""Digital Forensics""]";"[""Digital Marketing Specialist"",""Social Media Manager"",""SEO Analyst"",""Marketing & Advertising"",""Digital Marketer"",""Copywriter""]";"[""Marketing Coordinator"",""Digital Campaign Manager"",""Content Marketer"",""Field Marketing Manager"",""Marketing Operations Manager"",""Digital Twin Engineer""]";"[""Social Media Marketing"",""Growth Hacking"",""Brand Strategy"",""Content Strategy"",""Social Media Management"",""SEO"",""SEM / Google Ads"",""Performance Marketing"",""Email Marketing"",""Copywriting"",""Content Writing"",""Digital Marketing"",""DialogFlow""]";"[""Marketing"",""Business"",""Communication"",""Digital Forensics""]";"[""University of Illinois Urbana-Champaign"",""NIT Rourkela""]";"[""Content Marketing for Everyone"",""Social Media Marketing Specialization"",""Google Digital Marketing Certificate"",""Meta Social Media Marketing Certificate"",""Hootsuite Social Marketing Certification"",""HubSpot Inbound Marketing Certification"",""Introduction to Data Analysis Using Excel"",""Introduction to Project Management"",""Introduction to Accounting"",""Introduction to Psychology"",""Introduction to Financial Accounting"",""Introduction to Computer Science and Programming Using Python"",""Content Marketing Mastery"",""Introduction to Artificial Intelligence""]";"[""USA"",""UK"",""India"",""Gambia"",""Iraq""]";2026-04-14 04:57:01.277042+00
600a55f8-afe1-489a-b967-dd011f39f893;UX Research Fundamentals;Interaction Design Foundation;https://www.interaction-design.org/;Design;User research methods;Beginner;Self-paced;;Paid;High;$70,000;Steady;"[""analytical"",""discipline"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""empathy"",""Analytical Skills"",""Critical Thinking"",""Logical Thinking"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""research"",""service"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail"",""Organization"",""creativity"",""patience"",""Creativity"",""planning""]";"[""research"",""sports"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""psychology"",""math"",""technology"",""health"",""Data"",""Technology"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""medicine"",""biology"",""policy"",""animals"",""environment"",""Environment""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";📖;"[""ux research"",""design""]";"[""Market Research""]";"[""Clinical Research"",""Market Research"",""Augmented Reality""]";"[""Permaculture"",""Operations Research"",""Archaeology""]";"[""Urban Planning"",""Illustrator"",""Interior Designer"",""Landscape Architect"",""Graphic Design"",""Architecture"",""UX/UI Design"",""Industrial Designer""]";"[""Psychologist (Research)"",""Clinical Research Coordinator""]";"[""Adobe Photoshop"",""UX Design"",""Adobe XD"",""Adobe Illustrator"",""3D Modeling"",""CSS3"",""Motion Design"",""UI Design"",""Figma"",""Research & Development"",""Cybersecurity Fundamentals"",""Chakra UI""]";"[""Animation"",""Game Design"",""Fashion Design"",""Interior Design"",""Graphic Design""]";"[""NID Ahmedabad""]";"[""Fundamentals of Graphic Design"",""Blockchain Fundamentals - Berkeley"",""Azure Fundamentals (AZ-900)"",""Product Management Fundamentals"",""SEO Fundamentals"",""Cybersecurity Fundamentals""]";"[""Gambia""]";2026-04-18 01:09:25.053447+00
1e326350-e5ca-4936-b7b6-33adb9bb6040;The Complete Android App Development Bootcamp;Udemy;https://www.udemy.com/course/android-kotlin-developer/;Mobile Development;Learn to build Android applications using Kotlin, covering UI design, data persistence, and networking.;Intermediate;50 hours;4.6;$19.99-$199.99;High;$90,000;High;"[""Problem Solving"",""Attention to Detail""]";"[""Technology"",""Mobile Apps"",""Programming""]";"[""USA"",""India"",""UK""]";📱;"[""android development"",""kotlin"",""mobile apps""]";"[""Technology"",""Mobile Services"",""Startups"",""Software Development""]";"[""Mobile App Development"",""Software Engineering"",""Product Development"",""Software Development"",""Game Development"",""Property Development""]";"[""Mobile Application Development"",""Android Development"",""Kotlin Programming"",""Game Development"",""Chronobiology""]";"[""Android Developer"",""Mobile Developer"",""App Developer"",""Game Development""]";"[""Junior Android Developer"",""Mobile Application Engineer"",""Software Developer"",""App Developer""]";"[""Android SDK"",""Kotlin"",""Java"",""Blockchain Development"",""Research & Development"",""Chakra UI"",""Ansible""]";"[""Computer Science"",""Mobile Technologies"",""Programming"",""Mobile Development"",""Web Development"",""Child Development""]";[];"[""iOS Development with Swift"",""React Native - The Practical Guide"",""The Complete iOS App Development Bootcamp"",""The Complete Python Bootcamp From Zero to Hero in Python"",""Full Stack Web Development with React"",""The Complete JavaScript Course 2024"",""The Complete SQL Bootcamp 2024"",""Android App Development with Kotlin"",""The Complete Cyber Security Course"",""iOS App Development with Swift"",""Flutter & Dart Complete Guide"",""The Complete Web Developer Bootcamp"",""LangChain for LLM Application Development""]";"[""USA"",""India"",""Brazil""]";2026-04-14 04:57:03.93079+00
ceafe624-5590-449a-a9a4-9947617f64a6;Natural Language Processing;;;AI;;;;;;Very High;140000;Rapidly Growing;"[""creativity"",""research"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""Curiosity"",""Forward Thinking"",""Creativity"",""Attention to Detail"",""empathy"",""communication"",""languages""]";"[""film"",""arts"",""media"",""fashion"",""beauty"",""technology"",""math"",""Technology"",""Science"",""Data Science"",""AI"",""Future"",""Design"",""Art"",""Visuals"",""education"",""teaching"",""languages""]";"[""USA"",""UK"",""Germany"",""Australia"",""Canada"",""India""]";📖;;"[""Natural Gas"",""Language Services"",""Food Processing"",""Diagnostic Labs""]";"[""Natural Language Processing""]";"[""Sign Language Studies""]";;;"[""Natural Language Processing""]";;"[""BITS Pilani"",""NIT Surathkal""]";"[""Natural Language Processing Specialization""]";"[""Iceland"",""Latvia"",""Angola""]";2026-04-27 04:22:06.830109+00
