id;name;description;industry_id;industry_name;icon_emoji;keywords;created_at;demand_level;avg_salary_usd;growth_trajectory;soft_skills;interests;countries_in_demand;related_sectors;related_domains;related_careers;related_job_roles;related_skills;related_subjects;related_universities;related_courses;related_countries;related_industries
0897b0f9-845e-43ba-9585-371c24cc1126;Coliving;;;;📊;[];2026-04-27 04:20:23.971159+00;High;$70,000;Steady;;;;;;;;;;;;;
7fd3d17a-2284-41cc-a0a9-9eab9c205f0b;Coffee & Tea;;;;📊;[];2026-04-27 04:20:23.971159+00;High;$70,000;Steady;;;"[""Gambia"",""Belize""]";;;;;"[""Caffe""]";;;;"[""Gambia"",""Belize""]";
f573ff09-dbf2-4e55-9f58-08940a26f5a4;Aerial Imaging;;;Aerospace Manufacturing;📊;[];2026-04-27 04:20:23.971159+00;High;$65K-$130K;Essential infrastructure demand;"[""service"",""precision"",""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""research"",""analytical"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Critical Thinking"",""Communication"",""Attention to Detail"",""Organization"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""Technical Aptitude"",""Curiosity""]";"[""policy"",""aviation"",""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""space"",""science"",""math"",""Science"",""Data Science"",""AI"",""Mathematics"",""Data"",""Business"",""Visuals"",""Productivity"",""environment"",""Environment""]";"[""USA"",""India"",""UK"",""Germany"",""Canada"",""Australia""]";;"[""Aerospace Engineering"",""Electrical Engineering""]";"[""Aerospace Engineering""]";"[""Aerospace Engineer"",""Drone Pilot - Commercial"",""GIS Specialist""]";"[""D3.js""]";"[""Aerospace Engineering"",""Electrical Engineering"",""Aerodynamics""]";;;;"[""Aerospace Manufacturing"",""Aerospace & Defense""]"
e66ea4d6-01ef-424b-8091-af52bf976e56;Active Living;;;Nursing Services;📊;[];2026-04-27 04:20:23.971159+00;High;$70,000;Rapid Growth;"[""Technical Aptitude"",""Problem Solving"",""empathy"",""research"",""discipline"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Logical Thinking"",""Analytical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail"",""Organization"",""planning"",""negotiation"",""problem-solving""]";"[""Technology"",""Cloud Computing"",""IT"",""medicine"",""health"",""biology"",""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""math"",""technology"",""animals"",""Data"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""sports"",""environment""]";"[""USA"",""UK"",""Germany"",""Canada"",""Australia"",""India"",""Bosnia and Herzegovina"",""Guinea""]";;"[""Chiropractic"",""Nursing""]";"[""Ayurveda Practitioner"",""Chiropractor"",""Acupuncturist""]";"[""Chiropractor""]";"[""Nursing & Patient Care"",""Empathic Listening""]";;;"[""Learning How to Learn"",""The Science of Well-Being"",""Public Speaking Mastery"",""Storytelling for Influence""]";"[""Guinea""]";"[""Nursing Services"",""Hearing Aids""]"
0805fde1-cfc2-4b83-b41f-8b1cb23053f8;Music & Audio;Music production, distribution, and audio content;;Entertainment & Media;🎵;"[""music"",""audio"",""podcasts"",""streaming""]";2026-04-13 17:01:27.211001+00;Medium;$50K-$110K;Strong Growth;"[""creativity"",""Creativity"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving""]";"[""film"",""arts"",""fashion"",""beauty"",""Design"",""Art"",""Visuals"",""music"",""media"",""engineering"",""design"",""art"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT""]";"[""USA"",""UK"",""Australia"",""Germany""]";"[""Electronic Music""]";"[""Music & Audio Production"",""Sound Engineering"",""Audiology""]";"[""Sound Designer"",""Music & Audio""]";"[""Music Producer""]";;"[""Music Theory""]";"[""Aligarh Muslim University"",""Erasmus University Rotterdam""]";"[""Music Production with Ableton Live""]";;"[""Music Industry"",""Entertainment & Media"",""Music Streaming""]"
1f075c6b-e234-44b9-9bf6-6b8bac07888c;Restaurant & Hospitality;Restaurant operations, catering, and food service;;Food & Beverage;🍳;"[""restaurants"",""catering"",""food service""]";2026-04-13 17:01:27.211001+00;Medium;$55,000;Global industry with travel perks;"[""service"",""innovation""]";"[""travel"",""space"",""science""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";"[""Hospitality & Tourism""]";"[""Hospitality Management"",""Hospitality & Tourism""]";"[""Hospitality & Tourism""]";;;;"[""Arizona State University"",""Drexel University""]";;"[""Bahamas"",""Gambia""]";"[""Hospitality & Tourism"",""Hospitality - Boutique"",""Hospitality - Luxury""]"
ff634fd4-1554-42c4-990c-2f243704c33b;Boutique Hotels;;;Hospitality - Boutique;📊;[];2026-04-27 04:20:23.971159+00;High;$50K-$90K;Stable;"[""analytical"",""Numeracy"",""Attention to Detail"",""Organization"",""precision"",""Leadership"",""service""]";"[""finance"",""Finance"",""Business"",""Accounting"",""Numbers"",""law"",""Management"",""Productivity"",""Data"",""policy"",""risk""]";"[""USA"",""UK"",""Australia"",""Canada""]";;;;;;;;;"[""Bahamas""]";"[""Hospitality - Boutique"",""Hotels - Budget""]"
f6e8a681-3155-4aaf-8f3e-e1e5b1434575;Culinary Arts;;;Dairy Products;📊;[];2026-04-27 04:20:23.971159+00;Medium;$60,000;From cook to executive chef;"[""patience"",""creativity""]";"[""food"",""arts""]";"[""USA"",""Germany"",""UK"",""Canada"",""India"",""Australia""]";"[""Arts & Culture"",""Fine Arts"",""Arts & Creative""]";"[""Culinary Arts"",""Fine Arts"",""Performing Arts""]";"[""Culinary Arts""]";"[""Chef / Culinary Director""]";"[""Celery""]";"[""Fine Arts"",""Performing Arts"",""Visual Arts""]";"[""Banaras Hindu University"",""Pondicherry University""]";;;"[""Dairy Products""]"
c7e3a698-bb3f-4910-9a43-bef7feb54259;Farm-to-Table;;;;📊;[];2026-04-27 04:20:23.971159+00;High;$70,000;Steady;;;"[""Burkina Faso""]";;;;;;;;;"[""Burkina Faso""]";
fb268843-f657-47bc-9335-ffef4fb80aae;Dehydrated Foods;;;;📊;[];2026-04-27 04:20:23.971159+00;High;$70,000;Steady;;;;;;;;;;;;;
