id;name;description;domain;related_skills;related_universities;related_domains;keywords;created_at;demand_level;avg_salary_usd;growth_trajectory;soft_skills;interests;countries_in_demand;related_industries;related_sectors;related_careers;related_job_roles;related_subjects;related_courses;related_countries
4065efca-55e7-44f7-a728-4d0490a80858;Cinematography;;Cinematography;"[""Photography"",""Graphic Design"",""Adobe Illustrator"",""3D Modeling & Animation""]";[];"[""Cinematography"",""Photography"",""Graphic Design"",""Fine Arts"",""Animation & VFX"",""Sound Engineering""]";[];2026-04-27 04:20:58.388691+00;Medium;$75,000;Steady;"[""creativity"",""Creativity"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving"",""negotiation"",""service"",""problem-solving"",""Logical Thinking"",""innovation"",""safety"",""Analytical Skills""]";"[""film"",""arts"",""fashion"",""beauty"",""Design"",""Art"",""Visuals"",""media"",""engineering"",""design"",""art"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT"",""music"",""property"",""policy"",""aviation"",""coding"",""Programming"",""Computers"",""Computer Science""]";"[""USA"",""UK"",""Australia"",""Germany"",""India""]";"[""Cinema & Theatre"",""Creator Economy"",""Online Gaming""]";"[""Fine Arts"",""Creator Economy""]";"[""Photographer"",""Wildlife Photographer"",""Graphic Design"",""Animator"",""Curator"",""Illustrator"",""Sound Engineer"",""Drone Pilot / Operator""]";"[""Photographer"",""Graphic Designer"",""Animator"",""Curator"",""Drone Operator""]";;"[""Photography Basics"",""Fundamentals of Graphic Design"",""Unreal Engine 5 Course"",""Adobe Illustrator Mega Course"",""Prompt Engineering Professional"",""Prompt Engineering for ChatGPT""]";
9d1aacbd-c613-4767-9c42-13fb8c8a5343;Combinatorics;;Technology;"[""C++ STL""]";[];[];[];2026-04-27 04:20:58.388691+00;High;$110,000;Stable Growth;"[""Problem Solving"",""Analytical Thinking"",""precision"",""organization"",""negotiation"",""problem-solving"",""Logical Thinking"",""planning"",""Attention to Detail"",""Collaboration"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Communication"",""Innovation"",""Organization"",""research"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""empathy""]";"[""Technology"",""Security"",""Computers"",""making"",""events"",""property"",""technology"",""coding"",""Programming"",""Computer Science"",""Coding"",""engineering"",""Mobile Apps"",""Web Development"",""math"",""Data"",""Business"",""Visuals"",""Data Science"",""AI"",""Productivity"",""Mathematics"",""Science"",""environment""]";"[""USA"",""UK"",""Germany"",""India"",""Canada"",""Australia"",""Antigua and Barbuda"",""China"",""Singapore"",""Netherlands"",""United Kingdom"",""Côte d'Ivoire""]";;;;;;;
5778d0fd-8c7c-4e43-834c-d78883071c70;Aesthetics;;Biomedical Engineering;[];"[""Aalto University""]";[];[];2026-04-27 04:20:58.388691+00;growing;$50K-$110K;Strong Growth;"[""creativity""]";"[""beauty"",""fashion""]";"[""USA"",""India"",""UK"",""Australia"",""Canada"",""Germany""]";"[""Leather Products"",""Cinema & Theatre"",""Cosmetics""]";;"[""Prosthetics Designer""]";;;;"[""Gambia""]"
a7c3d5c4-2a4d-4ae3-9650-43374201a749;Auditing;;Media;"[""Video Editing"",""ClickHouse"",""Bubble.io""]";"[""Curtin University"",""Jamia Millia Islamia""]";[];[];2026-04-27 04:20:58.388691+00;Very High;65000;Stable Growth;"[""creativity"",""Creativity"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving""]";"[""film"",""arts"",""media"",""fashion"",""beauty"",""Design"",""Art"",""Visuals"",""engineering"",""design"",""art"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT"",""music""]";"[""USA"",""UK"",""Australia"",""Germany""]";;"[""Algorithmic Trading""]";;;;;"[""Burundi"",""Eswatini"",""Gambia""]"
b2ea3aea-2009-495d-9f5e-563d853ddbd4;Christian Theology;;Theology;"[""Critical Thinking"",""Empathic Listening"",""Negotiation""]";"[""Ludwig Maximilian University"",""University of Chicago"",""Charles University"",""Central European University"",""American University of Beirut"",""Jamia Millia Islamia""]";"[""Theology"",""Archaeology"",""Sociology"",""Psychology"",""Anthropology"",""Thanatology""]";[];2026-04-27 04:20:58.388691+00;Low;$45,000;Stable;"[""empathy""]";"[""spirituality""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";;;"[""Historian"",""Sociologist"",""Anthropologist""]";"[""Archaeologist"",""Anthropologist"",""Economist"",""Journalist"",""Librarian"",""Psychologist (Research)""]";"[""Theology""]";"[""Introduction to Psychology"",""The Science of Happiness"",""The Science of Well-Being"",""Justice with Michael Sandel"",""Introduction to Philosophy"",""Modern World History""]";
675bf597-c5c2-4343-9e27-804f2e99059a;Acoustics;;Technology;"[""C++ STL""]";"[""EPFL"",""Institut Polytechnique de Paris""]";"[""Physics""]";[];2026-04-27 04:20:58.388691+00;High;$65K-$130K;Essential infrastructure demand;"[""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""Analytical Thinking"",""organization"",""Collaboration"",""analytical"",""Critical Thinking"",""Communication"",""Innovation"",""Organization"",""research"",""Self-awareness""]";"[""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""India"",""Germany"",""Canada"",""Antigua and Barbuda"",""China"",""Singapore"",""Netherlands"",""United Kingdom"",""Côte d'Ivoire"",""Gambia""]";;;;;;;"[""Gambia""]"
c3ff423e-4a10-48e2-9379-31bec18d35c7;Dramaturgy;;;[];[];[];[];2026-04-27 04:20:58.388691+00;High;;;;;;;;;;;;
5e2628ae-2842-4c0b-8a5b-5e55fb975127;Astrophysics;;Astronomy & Astrophysics;"[""D3.js"",""AlphaFold""]";"[""Kyoto University"",""Aalto University"",""ISI Kolkata""]";"[""Astronomy & Astrophysics"",""Physics""]";[];2026-04-27 04:20:58.388691+00;emerging;$65K-$140K;Rapid Growth;"[""innovation"",""precision"",""planning"",""negotiation"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""systems thinking"",""safety"",""Analytical Skills""]";"[""space"",""science"",""aviation"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";"[""Optics & Photonics""]";;;;;;"[""Estonia""]"
8918f8a5-3966-4f5b-a85f-83ab64b5851f;Dental Surgery;;Healthcare;[];[];"[""Medicine & Surgery"",""Podiatry""]";[];2026-04-27 04:20:58.388691+00;High;$70,000;Rapid Growth;"[""empathy"",""research"",""discipline"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Logical Thinking"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""innovation"",""systems thinking"",""Communication"",""Attention to Detail"",""Organization"",""planning"",""negotiation"",""problem-solving"",""precision""]";"[""medicine"",""health"",""biology"",""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""math"",""technology"",""animals"",""Data"",""Technology"",""Business"",""Programming"",""Computers"",""Data Science"",""AI"",""sports"",""environment"",""Environment"",""Sustainability""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";"[""Dental Care""]";"[""Dental Tourism""]";;"[""Dental Hygienist""]";;;"[""Gambia""]"
eed831b8-a0fd-43b0-9564-0827a6cc134d;Animal Behavior;;;[];[];[];[];2026-04-27 04:20:58.388691+00;High;$85,000;Steady;"[""empathy""]";"[""animals""]";"[""USA"",""Canada"",""Australia"",""UK"",""India"",""Germany""]";"[""Outdoor Recreation""]";"[""Animal Welfare"",""Veterinary & Animal Care""]";;;"[""Consumer Behavior""]";;"[""Cambodia"",""Angola"",""Belize"",""Benin"",""Bosnia and Herzegovina""]"
44640e35-d6ef-4ebd-9c38-64bae2877936;Analytical Chemistry;;Organic Chemistry;[];"[""Delhi Technological University"",""Jamia Millia Islamia"",""Pondicherry University""]";"[""Organic Chemistry"",""Viticulture""]";[];2026-04-27 04:20:58.388691+00;High;$65K-$130K;Essential infrastructure demand;"[""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills""]";"[""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""India"",""Germany"",""Canada""]";"[""Fertilizers"",""Chemical & Materials""]";;;;"[""Organic Chemistry"",""Chemistry"",""Inorganic Chemistry""]";;"[""Antigua and Barbuda""]"
8bf68880-99c0-4ff7-89db-f97baf3f770e;Control Systems;;Design;"[""Design Systems"",""Containerization""]";"[""Cornell Tech""]";"[""Embedded Systems"",""Information Systems""]";[];2026-04-27 04:20:58.388691+00;High;40000;Steady;"[""organization"",""safety"",""design"",""analytical"",""Analytical Skills"",""Critical Thinking"",""Communication"",""Analytical Thinking"",""Innovation"",""Attention to Detail"",""Organization"",""Logical Thinking"",""research"",""Problem Solving"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience"",""languages"",""service"",""planning"",""Technical Aptitude""]";"[""events"",""ocean"",""home"",""math"",""technology"",""Data"",""Technology"",""Business"",""Visuals"",""Data Science"",""AI"",""Productivity"",""Mathematics"",""Science"",""Programming"",""Computers"",""environment"",""Environment"",""Sustainability"",""Personal Growth"",""Mental Health"",""sports"",""health"",""food""]";"[""USA"",""UK"",""Canada"",""Australia"",""Germany"",""India""]";"[""HVAC Systems""]";;;;;;
57fa1fd7-1fb9-4eda-b6e1-73f850e34021;Cognitive Neuroscience;;Social Sciences;"[""Cognitive Walkthroughs"",""D3.js""]";"[""Jawaharlal Nehru University"",""University of New South Wales"",""Central European University""]";"[""Neuroscience"",""Cognitive Science""]";[];2026-04-27 04:20:58.388691+00;High;$65K-$130K;Essential infrastructure demand;"[""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""Interpersonal Skills"",""Active Listening""]";"[""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""policy"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""music"",""arts"",""film"",""environment"",""energy"",""Environment"",""Sustainability""]";"[""USA"",""UK"",""Australia"",""India"",""Germany""]";;"[""Cognitive Services""]";;;"[""Cognitive Science"",""Neuroscience""]";"[""Neural Networks from Scratch""]";
ff72e593-803a-45ec-b291-cc60474d41f9;Comparative Literature;;Comparative Literature;"[""Babel""]";"[""Hitotsubashi University"",""Kyoto University"",""Osaka University""]";"[""Comparative Literature""]";[];2026-04-27 04:20:58.388691+00;Medium;$40K-$70K;Stable Growth;"[""creativity"",""Communication"",""Creativity"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving"",""Leadership"",""Organization"",""negotiation"",""analytical"",""Numeracy"",""safety"",""Analytical Thinking""]";"[""marketing"",""content"",""media"",""Marketing"",""Business"",""Online"",""fashion"",""beauty"",""Design"",""Art"",""Visuals"",""engineering"",""design"",""art"",""arts"",""film"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT"",""music"",""Management"",""Productivity""]";"[""USA"",""UK"",""India"",""Australia"",""Germany"",""Canada""]";;;;;"[""Literature"",""Comparative Religion"",""American Literature"",""Arabic Literature"",""Chinese Literature""]";;"[""Comoros""]"
7e676bc6-f915-4e68-a597-d6dc35e74125;African Studies;;Religious Studies;[];[];"[""Religious Studies"",""Islamic Studies"",""Translation Studies"",""Gender Studies""]";[];2026-04-27 04:20:58.388691+00;Low;$45,000;Steady;"[""empathy"",""analytical"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""service"",""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""languages""]";"[""spirituality"",""research"",""psychology"",""Personal Growth"",""Mental Health"",""Psychology"",""Self-Improvement"",""Human Behavior"",""policy"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""aviation"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science""]";"[""Central African Republic""]";;;;;;;"[""Central African Republic"",""Cambodia""]"
c51fa8ae-25d4-492e-845d-be8a3e70757c;American Literature;;Comparative Literature;[];"[""American University of Beirut""]";"[""Comparative Literature""]";[];2026-04-27 04:20:58.388691+00;Medium;$40K-$70K;Stable Growth;"[""creativity"",""Communication"",""Creativity"",""Attention to Detail"",""planning"",""precision"",""systems thinking"",""Technical Aptitude"",""Problem Solving"",""Leadership"",""Organization"",""negotiation"",""analytical"",""Numeracy"",""safety"",""Analytical Thinking"",""empathy"",""research"",""service"",""problem-solving"",""Logical Thinking"",""innovation"",""Analytical Skills"",""Innovation""]";"[""marketing"",""content"",""media"",""Marketing"",""Business"",""Online"",""fashion"",""beauty"",""Design"",""Art"",""Visuals"",""engineering"",""design"",""art"",""arts"",""film"",""making"",""technology"",""Technology"",""Cloud Computing"",""IT"",""music"",""Management"",""Productivity""]";"[""USA"",""UK"",""India"",""Australia"",""Germany"",""Canada""]";;;;;"[""Arabic Literature"",""Chinese Literature"",""Comparative Literature"",""Literature""]";;
