id;name;country;city;continent;type;ranking_tier;website;keywords;created_at;related_domains;related_subjects;related_sectors;related_careers;related_skills;description;demand_level;avg_salary_usd;growth_trajectory;soft_skills;interests;related_industries;related_job_roles;related_courses;related_countries;popular_courses
e52cd804-3a5c-4dda-a04f-d79a0a5fdd9f;Hitotsubashi University;Japan;;;Public;;;[];2026-04-27 04:21:43.856295+00;"[""History"",""Writing & Publishing"",""Entrepreneurship"",""Mass Communication""]";"[""Architectural History"",""History"",""Creative Writing"",""Entrepreneurship"",""Communication Theory"",""Comparative Literature""]";"[""Arts & Creative"",""Higher Education"",""Publishing & Journalism""]";"[""Historian"",""Entrepreneurship""]";[];;High;$75,000;Steady;"[""analytical"",""Leadership"",""Organization"",""Attention to Detail"",""creativity"",""Communication"",""Creativity"",""empathy"",""communication"",""precision"",""Numeracy"",""research"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Logical Thinking"",""Critical Thinking"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience""]";"[""research"",""Business"",""Management"",""Productivity"",""Data"",""marketing"",""content"",""media"",""Marketing"",""Online"",""film"",""arts"",""education"",""technology"",""teaching"",""finance"",""Finance"",""Accounting"",""Numbers"",""math"",""Technology"",""Science"",""Data Science"",""AI""]";"[""Higher Education"",""Libraries & Archives"",""Educational Publishing""]";"[""Editor""]";"[""Leadership Communication"",""Modern World History"",""Disruptive Strategy"",""Entrepreneurship Essentials""]";;
b7f25cc4-f047-485b-84c3-54cfd1221636;Boston College;USA;;;Public;;;[];2026-04-27 04:21:43.856295+00;"[""History"",""E-Commerce"",""Art History"",""Law & Legal Studies"",""Education & Teaching"",""Public Administration"",""Philosophy""]";"[""History"",""Education"",""Contract Law"",""Constitutional Law""]";"[""Legal Services"",""K-12 Education"",""Risk & Compliance"",""Higher Education""]";"[""Judge"",""Historian"",""Copywriter"",""Compliance Officer"",""Education & Teaching""]";"[""Cross-functional Collaboration"",""Conflict Mediation"",""Negotiation"",""Storytelling"",""Copywriting"",""Content Writing"",""Content Strategy"",""Sales & Negotiation"",""Brand Storytelling""]";;High;$110,000;Stable;"[""analytical"",""creativity"",""Communication"",""Creativity"",""empathy"",""communication"",""Numeracy"",""Attention to Detail"",""Organization"",""precision"",""Leadership"",""service"",""vigilance"",""research"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""Analytical Skills"",""Logical Thinking"",""Critical Thinking"",""innovation"",""systems thinking"",""Self-awareness"",""Emotional Intelligence""]";"[""law"",""research"",""marketing"",""content"",""media"",""Marketing"",""Business"",""Online"",""education"",""technology"",""teaching"",""finance"",""Finance"",""Accounting"",""Numbers"",""Management"",""Productivity"",""Data"",""policy"",""risk"",""security"",""math"",""Technology"",""Science""]";"[""Legal & Compliance"",""LegalTech"",""Consulting"",""Legal Services"",""Education & EdTech"",""Non-Profit & NGOs""]";"[""Compensation Analyst"",""Litigation Paralegal"",""Coroner"",""Copywriter"",""Knowledge Manager"",""Compliance Manager"",""Compliance Officer"",""Content Strategist""]";"[""Leadership Communication"",""Negotiation Mastery"",""Copywriting Secrets"",""Modern World History""]";"[""Guinea""]";
3cbf5487-4b4c-47c0-acef-9aeda373b1a5;Politecnico di Milano;Italy;;;Public;;;[];2026-04-27 04:21:43.856295+00;"[""Landscape Architecture"",""Architecture"",""Urban Planning"",""Mining Engineering"",""Physics""]";"[""Architecture"",""Architectural History"",""Urban Planning""]";"[""Architecture & Design"",""Architectural Visualization"",""Construction Tech""]";"[""Landscape Architect"",""Architecture"",""Cloud Architect"",""Urban Planner"",""Urban Planning"",""Mechanical Engineering""]";"[""Cloud Architecture"",""Mechanical Engineering""]";;High;125000;Rapidly Growing;"[""creativity"",""Creativity"",""Attention to Detail"",""systems thinking"",""planning"",""Technical Aptitude"",""Problem Solving"",""analytical"",""Numeracy"",""Organization"",""precision"",""service"",""negotiation"",""Leadership"",""innovation"",""Analytical Skills"",""organization"",""Communication"",""empathy"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening"",""problem-solving""]";"[""design"",""art"",""Design"",""Art"",""Visuals"",""technology"",""engineering"",""Technology"",""Cloud Computing"",""IT"",""fashion"",""arts"",""finance"",""Finance"",""Business"",""Accounting"",""Numbers"",""law"",""policy"",""risk"",""property"",""Management"",""Productivity"",""Data""]";"[""Architecture"",""Architectural Services"",""Mechatronics""]";"[""Architect"",""Cloud Architect"",""DevOps Architect"",""IoT Solutions Architect"",""Mechanical Engineer""]";"[""Cloud Native Architecture"",""GCP Professional Cloud Architect"",""AWS Certified Solutions Architect""]";"[""Burundi"",""Guinea-Bissau""]";
0dd1f16e-fb16-41cb-9792-f8e73472eed4;Narsee Monjee Institute;India;;;Public;;;[];2026-04-27 04:21:43.856295+00;"[""Banking & Insurance"",""Real Estate"",""Artificial Intelligence""]";"[""Corporate Finance"",""International Relations"",""Artificial Intelligence""]";"[""Insurance"",""Cyber Insurance"",""Real Estate & Construction"",""Investment Banking""]";"[""Insurance Underwriter"",""Real Estate"",""Investment Banking"",""Artificial Intelligence"",""Sports Science & Management"",""Diplomacy & International Relations""]";"[""Statistics"",""Financial Modeling"",""Investment Analysis"",""Artificial Intelligence""]";;High;$70,000;Stable;"[""service"",""analytical"",""Numeracy"",""Attention to Detail"",""negotiation"",""Leadership"",""Organization"",""research"",""Problem Solving"",""Analytical Thinking"",""Innovation"",""Curiosity"",""Forward Thinking"",""discipline"",""Analytical Skills"",""Critical Thinking"",""Logical Thinking"",""Self-awareness"",""Emotional Intelligence"",""precision"",""empathy"",""planning"",""problem-solving"",""creativity""]";"[""policy"",""risk"",""Finance"",""Business"",""Accounting"",""property"",""Management"",""Productivity"",""Data"",""finance"",""Numbers"",""technology"",""math"",""Technology"",""Science"",""Data Science"",""AI"",""Future"",""sports"",""health"",""Programming"",""Computers"",""Personal Growth"",""Mental Health""]";"[""Insurance"",""Insurance - Life"",""Insurance - Health"",""Insurance - Property"",""Construction & Real Estate""]";"[""Insurance Underwriter"",""Real Estate Agent"",""Banker (Investment)"",""Investment Banker"",""Investment Analyst"",""Investment Manager"",""Compliance Manager""]";;;
b0dc6953-374a-4895-8833-12300c47fdb3;Nottingham Trent University;UK;;;Public;;;[];2026-04-27 04:21:43.856295+00;[];[];[];[];[];;High;70000;Stable;;"[""Finance"",""Technology"",""Education"",""Creative Arts""]";;;;"[""United Kingdom""]";
c8b43377-b518-4be1-9e1c-349c762f160e;Jawaharlal Nehru University;India;;;Public;;;[];2026-04-27 04:21:43.856295+00;"[""Disability Studies"",""Political Science"",""Neuroscience""]";"[""Critical Theory"",""Cultural Studies"",""Political Science"",""International Law"",""Neuroscience"",""Cognitive Neuroscience""]";[];[];[];;High;28000;High;"[""planning"",""negotiation"",""precision"",""Creativity"",""Attention to Detail"",""creativity"",""service"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""analytical"",""Numeracy"",""empathy"",""Organization"",""Leadership"",""vigilance"",""Self-awareness"",""Emotional Intelligence"",""Interpersonal Skills"",""Active Listening""]";"[""Technology"",""IT Services"",""Manufacturing"",""Healthcare""]";;;;"[""India"",""United States"",""United Kingdom"",""Iraq""]";
def2a5b8-fc47-4ba6-9f16-86376e9ba5c3;University of Cape Town;South Africa;Cape Town;Africa;Public;Top 200;https://uct.ac.za;"[""UCT"",""South Africa"",""medicine"",""law"",""engineering""]";2026-03-09 03:34:14.134415+00;[];"[""Robotics"",""Electronics Engineering"",""Aerospace Engineering"",""Materials Science"",""Industrial Engineering""]";[];"[""Medicine"",""Law"",""Judge""]";"[""Capybara"",""Caffe""]";;High;$110,000;Essential infrastructure demand;"[""empathy"",""research"",""analytical"",""precision"",""service"",""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""Analytical Thinking"",""Innovation"",""Critical Thinking"",""Communication"",""Attention to Detail"",""Organization"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience""]";"[""medicine"",""health"",""biology"",""law"",""making"",""policy"",""aviation"",""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""environment"",""energy"",""Environment"",""Sustainability"",""math"",""Science"",""Data Science"",""AI""]";;;"[""Anatomy Specialization""]";"[""South Africa"",""Cape Verde""]";
310b8f40-d91c-4b40-8f05-f8352940b8bc;Duke University;United States;Durham;North America;Private;Top 30;https://duke.edu;"[""Duke"",""medicine"",""business"",""law"",""engineering""]";2026-03-09 03:45:11.466537+00;"[""Philosophy"",""Physics""]";"[""Robotics"",""Electronics Engineering"",""Aerospace Engineering"",""Materials Science"",""Industrial Engineering"",""Entrepreneurship"",""Corporate Finance""]";[];"[""Medicine"",""Law"",""Judge"",""Entrepreneurship""]";"[""D3.js"",""Dropwizard""]";;High;$110,000;Stable;"[""empathy"",""research"",""analytical"",""Leadership"",""Organization"",""Attention to Detail"",""precision"",""service"",""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""Analytical Thinking"",""Innovation"",""Critical Thinking"",""Communication"",""Self-awareness"",""Emotional Intelligence"",""discipline""]";"[""medicine"",""health"",""biology"",""law"",""Business"",""Management"",""Productivity"",""Data"",""making"",""policy"",""aviation"",""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""environment"",""energy"",""Environment"",""Sustainability""]";;;"[""AI Product Management - Duke"",""Introduction to Probability and Data"",""Anatomy Specialization"",""AI for Everyone - Coursera""]";"[""United States"",""El Salvador""]";"[""AI Product Management - Duke""]"
a13caa78-94cf-4d49-a69a-fd7719a79d60;Florida International University;USA;;;Public;;;[];2026-04-27 04:21:43.856295+00;"[""International Business"",""Diplomacy & International Relations""]";"[""International Relations"",""International Law""]";[];"[""Diplomacy & International Relations""]";[];;High;85000;Stable;"[""analytical"",""Numeracy"",""Attention to Detail"",""Organization"",""Leadership"",""service"",""precision"",""planning"",""negotiation"",""Creativity"",""creativity"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""empathy"",""Analytical Thinking""]";"[""finance"",""Finance"",""Business"",""Accounting"",""Numbers"",""Management"",""Productivity"",""Data"",""policy"",""risk"",""law"",""engineering"",""property"",""making"",""Design"",""Art"",""Visuals"",""fashion"",""beauty"",""aviation"",""technology"",""coding"",""Technology"",""Programming""]";"[""International Schools"",""Logistics - International""]";;;"[""El Salvador""]";
2906c416-eb09-4fc9-a734-b79f2ef04b0e;University of Texas at Austin;United States;Austin;North America;Public;Top 50;https://utexas.edu;"[""UT Austin"",""engineering"",""CS"",""business""]";2026-03-09 03:45:11.466537+00;[];"[""Robotics"",""Electronics Engineering"",""Aerospace Engineering"",""Materials Science"",""Industrial Engineering"",""Entrepreneurship"",""Corporate Finance""]";[];"[""Entrepreneurship""]";"[""D3.js""]";;High;$65K-$130K;Essential infrastructure demand;"[""Leadership"",""Organization"",""Attention to Detail"",""precision"",""service"",""planning"",""negotiation"",""problem-solving"",""Logical Thinking"",""Problem Solving"",""innovation"",""systems thinking"",""safety"",""Analytical Skills"",""research"",""analytical"",""Analytical Thinking"",""Innovation"",""Critical Thinking"",""Communication"",""Self-awareness"",""Emotional Intelligence"",""discipline"",""patience""]";"[""Business"",""Management"",""Productivity"",""Data"",""making"",""policy"",""aviation"",""engineering"",""property"",""technology"",""coding"",""Technology"",""Programming"",""Computers"",""Computer Science"",""Coding"",""environment"",""energy"",""Environment"",""Sustainability"",""math"",""Science"",""Data Science"",""AI""]";;;;"[""United States""]";
