id;user_id;signal_type;signal_source;signal_value;signal_context;strength;created_at
eecf97bc-369c-4b07-be33-659e3c02b813;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;game_dev;{};0.7;2026-04-21 15:20:53.123414+00
bd7c7cf2-872d-420a-8af9-d07b1f18529c;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;game_dev;{};0.7;2026-04-21 15:20:53.384778+00
2676e9f1-cfe0-4005-b408-f37f34b8a44d;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;creative;{};0.7;2026-04-21 15:20:53.839403+00
6e772d31-95c4-4667-a460-c485dcfc4b8e;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;creative;{};0.7;2026-04-21 15:20:54.016032+00
53693653-5d9e-4813-8e1b-abc9c0c66ee6;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;tech;{};0.6;2026-04-21 15:20:54.360377+00
661de8fd-01c4-4a8e-b17f-415e01647dba;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;business;{};0.6;2026-04-21 15:20:54.360377+00
0e4440c0-f2f5-499d-a736-727bb63e8181;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;music;{};0.6;2026-04-21 15:20:54.360377+00
5bf63d67-89eb-4488-81cd-3d449a59320e;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;tech;{};0.6;2026-04-21 15:20:54.404023+00
0feca141-4652-4770-b582-1225b2031816;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;business;{};0.6;2026-04-21 15:20:54.404023+00
1ebf1900-9764-4f94-8102-c27a004dc114;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;music;{};0.6;2026-04-21 15:20:54.404023+00
903a4376-78d8-46ff-b813-c532677bd081;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;ideation;{};0.7;2026-04-21 15:20:54.808001+00
276d1827-2544-4598-b0d9-74f1da7561a7;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;ideation;{};0.7;2026-04-21 15:20:54.962501+00
bc6bd3ce-c127-4868-9e9e-701bccb48655;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;creative;{};0.7;2026-04-21 15:20:55.218142+00
e3480927-e2b7-488b-b80f-0f945cc3d7c9;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;creative;{};0.7;2026-04-21 15:20:55.291844+00
ee7a99b6-825c-44ed-9c7a-2a22cdfcabda;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;digital_building;{};0.6;2026-04-21 15:20:56.560985+00
9eca41fc-aa92-4e48-80a2-1c6fdaa48ab6;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;narrative;{};0.6;2026-04-21 15:20:56.560985+00
64857e67-13bc-4588-85c0-4c4df6a86f4a;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;digital_building;{};0.6;2026-04-21 15:20:57.366947+00
890c34a9-5004-4f2a-a6f5-5275de9d23d9;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;narrative;{};0.6;2026-04-21 15:20:57.366947+00
b8804382-9045-4158-b1dc-9c6939c67f3e;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;art;{};0.7;2026-04-21 15:20:58.155616+00
cb4a262b-6122-4275-a7f6-faf285678ed4;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;art;{};0.7;2026-04-21 15:21:00.675177+00
cd951a6a-85a2-4a50-87d9-5b087dad4029;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;environment;{};0.6;2026-04-21 15:21:02.997094+00
36c4542d-05a1-41d4-b18b-2a45014539cb;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;fashion;{};0.6;2026-04-21 15:21:02.997094+00
fb38205d-9aa9-4df2-af11-937ae457193e;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;internet;{};0.6;2026-04-21 15:21:02.997094+00
bbc0cbf8-7c32-4f53-803b-06ad574d4a47;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;environment;{};0.6;2026-04-21 15:21:03.092525+00
85b2dfb4-47db-4509-b2b5-6174623449ba;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;fashion;{};0.6;2026-04-21 15:21:03.092525+00
b5347644-09ac-497f-9ee6-d2f2c8c90558;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;internet;{};0.6;2026-04-21 15:21:03.092525+00
11e85030-b144-434c-9d98-89ff4dfc4379;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;kinesthetic;{};0.7;2026-04-21 15:21:03.257789+00
37c8e76d-6a2e-43df-be50-005ab53ab82b;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;kinesthetic;{};0.7;2026-04-21 15:21:03.323349+00
824165ae-61ca-4caf-9b6e-cd92ef6ab78c;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;achiever;{};0.7;2026-04-21 15:21:03.702112+00
a2b186da-22c1-42e9-98ad-b8d8e6861d32;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;achiever;{};0.7;2026-04-21 15:21:03.72993+00
92ba999c-efaa-45c9-94cb-865f0538ff91;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;multi_interest;{};0.7;2026-04-21 15:21:03.894751+00
184aa7d5-d8bd-4326-a33e-3ffaaa7fb878;6fd4ed8a-372b-475e-9fd8-06f221183764;preference;assessment;multi_interest;{};0.7;2026-04-21 15:21:03.935232+00
